"item","location","se","infit","outfit"
"S3DoShout",2.4,0.192,1.041,1.992
"S4DoShout",1.282,0.128,1.037,1.067
"S3WantShout",1.239,0.122,1.042,1.109
"S3DoScold",1.099,0.118,0.964,0.86
"S2DoShout",0.807,0.108,0.973,0.857
"S3WantScold",0.548,0.101,0.994,0.967
"S4WantShout",0.495,0.098,1.082,1.314
"S1DoShout",0.367,0.095,1.003,1.198
"S3DoCurse",0.238,0.096,1.055,1.085
"S4DoScold",0.177,0.092,0.957,0.919
"S4WantScold",0.098,0.09,0.963,0.874
"S2DoScold",-0.143,0.087,0.871,0.808
"S1WantShout",-0.196,0.087,1.038,1.145
"S2WantShout",-0.283,0.084,1.003,1.006
"S3WantCurse",-0.397,0.088,1.129,1.194
"S1DoScold",-0.484,0.084,0.851,0.823
"S4DoCurse",-0.58,0.086,1.036,1.026
"S1WantScold",-0.704,0.081,0.966,0.92
"S2WantScold",-0.762,0.082,1.012,1.008
"S4wantCurse",-0.802,0.088,1.087,1.092
"S2DoCurse",-0.857,0.083,0.938,0.908
"S1DoCurse",-1.039,0.085,0.939,0.885
"S1WantCurse",-1.119,0.083,1.051,1.15
"S2WantCurse",-1.384,0.089,1.04,1.004
