"window","start_sec","end_sec","x_mean","x_sd","x_mad","x_energy","x_iqr","x_min","x_max","y_mean","y_sd","y_mad","y_energy","y_iqr","y_min","y_max","z_mean","z_sd","z_mad","z_energy","z_iqr","z_min","z_max","vm_mean","vm_sd","vm_mad","vm_energy","vm_iqr","vm_min","vm_max","sma","cor_xy","cor_xz","cor_yz","dom_freq","spec_energy","spec_entropy","jerk_rms"
1,0,2.5625,-0.8966317805,0.3109613594,0.2117997882,0.8994662855,0.285715,-1.5,0.02381,0.3542394024,0.228108791,0.1411998588,0.1768846184,0.238095,-0.642857,1.119048,0.1254358293,0.1284662514,0.0705999294,0.0320364619,0.095238,-0.071429,0.690476,1.030751282,0.2156532184,0.257286258,1.1083873658,0.3460421851,0.6185896291,1.5273397315,1.4024395244,0.4271661083,0.1090566387,0.014970583,1.5609756098,1.8852767897,2.3676402658,4.963568048
2,1.28125,3.84375,-0.9523808902,0.2079373746,0.2117997882,0.9497400198,0.285715,-1.5,-0.642857,0.2363533293,0.1319986289,0.0705999294,0.0730740509,0.13095225,-0.642857,0.595238,0.099303439,0.1050104747,0.0705999294,0.0207538948,0.095238,-0.071429,0.690476,0.9996646055,0.2116241907,0.1913976771,1.0435679654,0.2416224573,0.6645373785,1.5273397315,1.3106858293,0.0642565174,-0.2525681987,-0.3923026886,1.5609756098,1.8152725153,2.2069701416,4.5683444328
3,2.5625,5.125,-0.9564459024,0.1709498405,0.1412013414,0.9436562239,0.238096,-1.404762,-0.642857,0.2195124634,0.0809388829,0.0705999294,0.0546569329,0.095238,-0.02381,0.452381,0.1149828902,0.0843915617,0.0705999294,0.0202561479,0.13095225,-0.02381,0.357143,0.9948486682,0.1708846056,0.1542940494,1.0185693046,0.202626295,0.6645373785,1.4228059841,1.295006378,-0.0540848628,-0.3223096916,0.0400347043,1.5609756098,1.1827722431,2.2643956757,3.6265505275
4,3.84375,6.40625,-0.9698024146,0.1518368272,0.1411998588,0.963289994,0.190477,-1.357143,-0.690476,0.2276425366,0.0756722146,0.0705999294,0.0574775758,0.047619,-0.02381,0.404762,0.1260165854,0.0888894978,0.0705999294,0.0236851648,0.095238,-0.02381,0.404762,1.0111550667,0.1492983415,0.1329040117,1.0444527346,0.180768648,0.7107052213,1.38074736,1.3263651951,-0.0221363329,-0.0344514174,-0.0264940138,1.5609756098,0.9039632714,2.3310393506,3.3830832758
5,5.125,7.6875,-0.955865122,0.1293933079,0.1411998588,0.9302165811,0.142858,-1.261905,-0.738095,0.2653893171,0.1000490152,0.0705999294,0.0803192243,0.095238,0.071429,0.738095,0.1265972927,0.124416117,0.0705999294,0.0313174719,0.142857,-0.02381,0.690476,1.0118938137,0.1347051344,0.142885953,1.0418532773,0.1925480076,0.8035492752,1.3508629593,1.3507553902,-0.0401379069,-0.0652955167,0.0450896084,1.5609756098,0.7441186386,2.4149687001,3.0693728321
6,6.40625,8.96875,-0.9378627927,0.1077704058,0.0705999294,0.8910594385,0.142858,-1.261905,-0.738095,0.2392569268,0.1097740964,0.0705999294,0.0691472738,0.095238,-0.071429,0.738095,0.1324044634,0.1257155169,0.1411998588,0.0331425966,0.17857125,-0.071429,0.690476,0.9900275929,0.11557496,0.1042750662,0.9933493089,0.1438933529,0.8007223312,1.2907751964,1.3164929146,-0.0038095759,-0.1250346741,-0.0488088417,1.9512195122,0.5424646088,2.4767614364,2.6358320294
7,7.6875,10.25,-0.9407663659,0.1222238276,0.0705999294,0.8997978403,0.130953,-1.261905,-0.738095,0.2049944756,0.0699690075,0.0705999294,0.0468586938,0.095238,-0.071429,0.357143,0.1277587195,0.089519114,0.0705999294,0.0242382345,0.095238,-0.071429,0.357143,0.9780157644,0.1206543131,0.0928488483,0.9708947687,0.1364958467,0.7600422488,1.3288618594,1.279907561,0.0062273576,-0.1232185644,-0.0539606134,1.9512195122,0.5903888854,2.7364152594,2.9737085288
8,8.96875,11.53125,-0.9593494634,0.1339310379,0.1411998588,0.9380701656,0.142858,-1.261905,-0.690476,0.2195124756,0.058443926,0.0705999294,0.0515597646,0.095238,0.119048,0.357143,0.1138214756,0.0660872547,0.0705999294,0.017269591,0.095238,-0.02381,0.214286,0.9943982409,0.1352581485,0.124366885,1.0068995213,0.1612943,0.7326991352,1.3288618594,1.2950063415,-0.2724671324,-0.1670523378,0.2680876759,1.5609756098,0.7409553157,2.5646989549,2.9684427414
9,10.25,12.8125,-0.9657374024,0.1332294909,0.1411998588,0.9501823631,0.142858,-1.357143,-0.690476,0.2177703171,0.0611473377,0.0705999294,0.0511173104,0.095238,0.02381,0.357143,0.0917540122,0.1009545803,0.0705999294,0.0184863355,0.142857,-0.214286,0.261905,1.0011883882,0.1327506372,0.1158827335,1.019786009,0.1628887123,0.7326991352,1.3840279987,1.299652122,-0.1557258962,0.1401124466,0.192458798,1.5609756098,0.7138722898,2.5415561265,2.998169445
10,11.53125,14.09375,-0.9442506951,0.1317568629,0.1411998588,0.9087575404,0.17857225,-1.357143,-0.690476,0.2090595244,0.0593942018,0.0705999294,0.0471905356,0.095238,0.02381,0.357143,0.0888504146,0.10462628,0.1411998588,0.0187075588,0.142857,-0.214286,0.261905,0.978597354,0.1311974284,0.0968989244,0.9746556348,0.1423025162,0.7326991352,1.3840279987,1.2665510244,-0.1000342892,0.1317539219,0.1094377348,1.1707317073,0.6991022572,2.5136779566,3.0843412785
11,12.8125,15.375,-0.9547036707,0.1526441032,0.1411998588,0.9344751721,0.190477,-1.452381,-0.690476,0.214286,0.057960001,0.0705999294,0.0492368837,0.095238,0.071429,0.357143,0.1173058049,0.0753648334,0.0705999294,0.0193712434,0.095238,-0.02381,0.261905,0.9899588159,0.1528057369,0.1234709915,1.0030832992,0.161758805,0.7264831026,1.4897610889,1.2880376707,-0.3543938593,-0.0502421108,-0.0256348952,3.9024390244,0.9457597499,2.4003235971,3.4587891025
12,14.09375,16.65625,-0.9616723415,0.1576134055,0.1411998588,0.9493527269,0.190477,-1.452381,-0.690476,0.2160281463,0.0666939848,0.0705999294,0.0510620027,0.095238,-0.02381,0.357143,0.1312431098,0.0634086012,0.0705999294,0.0211963722,0.095238,0.02381,0.261905,0.9988823714,0.1553688966,0.1272733566,1.0216111018,0.1680072903,0.7264831026,1.4897610889,1.3095243293,-0.2048357863,0.052094881,-0.243396641,1.1707317073,0.9778724815,2.3216972962,3.5229477719
13,15.375,17.9375,-0.9518001098,0.1174185922,0.1411998588,0.9195424391,0.142858,-1.404762,-0.738095,0.206736622,0.0814435006,0.0705999294,0.0492921839,0.095238,-0.02381,0.357143,0.0801395976,0.0802869267,0.0705999294,0.012789736,0.142857,-0.071429,0.261905,0.9840587188,0.1158292351,0.1010279978,0.981624359,0.1343271882,0.7921810932,1.4433758379,1.2526138171,-0.0361283055,0.0870602826,-0.3066356125,1.1707317073,0.5433885703,2.6000780036,2.6897968778
14,16.65625,19.21875,-0.9506386098,0.0830522416,0.0705999294,0.9105273232,0.142858,-1.214286,-0.785714,0.1817656585,0.0906842308,0.0705999294,0.0411620962,0.13095225,-0.071429,0.357143,0.0888503537,0.1010880692,0.1411998588,0.0179885636,0.142857,-0.071429,0.357143,0.9813503018,0.0819232244,0.0801950151,0.969677983,0.1091519277,0.814758796,1.238782227,1.2392572073,0.1191260604,0.0763684647,-0.4077244275,1.9512195122,0.2728038558,2.8970021991,2.0515463845
15,17.9375,20.5,-0.9547036463,0.0892137131,0.0705999294,0.9193210769,0.142858,-1.261905,-0.785714,0.1771199146,0.0677680554,0.0705999294,0.0359079673,0.047619,-0.071429,0.309524,0.1358887927,0.082094906,0.0705999294,0.0251231476,0.08333325,-0.071429,0.357143,0.9862440734,0.0881451661,0.0848910984,0.9803521918,0.1091519277,0.8203062035,1.299529279,1.2752618171,0.0457393743,-0.061483389,-0.2735655741,1.1707317073,0.3150702438,2.5418793156,2.2011155843
16,19.21875,21.78125,-0.9570265488,0.1101903812,0.0705999294,0.927893663,0.142858,-1.309524,-0.785714,0.2038330488,0.0455299021,0.0705999294,0.0435956036,0.047619,0.071429,0.309524,0.1027877805,0.060890132,0.0705999294,0.0142277213,0.047619,-0.071429,0.214286,0.9867060387,0.1108057385,0.0866558488,0.9857169879,0.1435511432,0.7978853415,1.3322702514,1.2682932073,-0.2720609222,-0.2325355522,-0.284219973,1.1707317073,0.4985532345,2.7198672302,2.7257613434
17,20.5,23.0625,-0.9471543049,0.1219819764,0.1411998588,0.9117994212,0.142858,-1.309524,-0.738095,0.1997680122,0.0537962406,0.0705999294,0.0427660011,0.047619,0.02381,0.357143,0.086527622,0.0607329317,0.0352999647,0.0111305368,0.095238,-0.02381,0.261905,0.9753497771,0.1206913853,0.1129335405,0.9656959591,0.1455670655,0.7689405926,1.3322702514,1.237515061,0.0138390706,-0.3282059914,-0.0777428717,1.5609756098,0.5911493743,2.7423794391,2.9587209436
18,21.78125,24.34375,-0.9454121463,0.1285993041,0.1411998588,0.9101402272,0.142858,-1.309524,-0.738095,0.1933800732,0.0792230091,0.0705999294,0.0435955978,0.047619,-0.119048,0.357143,0.0963998415,0.0771202246,0.0705999294,0.0151679276,0.142857,-0.071429,0.261905,0.9762505659,0.1266259192,0.1117046309,0.9689037526,0.1351852015,0.7689405926,1.3675460204,1.2456451341,0.0172242746,-0.1349066103,0.1964680263,1.5609756098,0.6497638871,2.2302941666,2.8690816134
19,23.0625,25.625,-0.9471542927,0.1567347825,0.1058998941,0.9213674634,0.190477,-1.404762,-0.738095,0.2090595,0.07812296,0.0705999294,0.0497346422,0.095238,-0.119048,0.357143,0.102207061,0.0730741715,0.0705999294,0.0157209979,0.095238,-0.071429,0.261905,0.9813367793,0.1552258722,0.1170773835,0.9868231035,0.1576839356,0.7510384527,1.4433758379,1.2677124634,-0.1223446828,-0.1058782199,0.2246784385,1.5609756098,0.9759062138,2.0609377686,3.278424099
20,24.34375,26.90625,-0.9523808049,0.1655080787,0.1411998588,0.9340880616,0.22619125,-1.404762,-0.738095,0.2195124756,0.0598636832,0.0705999294,0.0517256843,0.095238,0.02381,0.357143,0.1097563659,0.0974002928,0.0705999294,0.021417584,0.13095225,-0.071429,0.452381,0.9902772926,0.1640438635,0.1351914177,1.0072313299,0.2141117726,0.7510384527,1.4433758379,1.2886184024,-0.2359282474,-0.1684497688,-0.1980211399,1.5609756098,1.0898782,2.2649140686,3.6567119965
21,25.625,28.1875,-0.9616723537,0.150340988,0.1411998588,0.9471404893,0.238096,-1.404762,-0.738095,0.2137052805,0.0645822427,0.0705999294,0.0497899488,0.095238,0.02381,0.357143,0.1085948415,0.1109913706,0.1058998941,0.0239616912,0.190476,-0.071429,0.452381,0.999600188,0.1481870133,0.1387629945,1.0208921292,0.2031485168,0.7689405926,1.4307524621,1.2973292317,-0.2038333011,-0.1233312855,-0.0360059613,1.5609756098,0.8928309256,2.1068222623,3.6814844409
22,26.90625,29.46875,-0.9605109024,0.1474010341,0.1411998588,0.9440432943,0.22619125,-1.404762,-0.738095,0.2102209634,0.056592047,0.0705999294,0.0473564564,0.095238,0.071429,0.309524,0.0975612195,0.0892136156,0.0705999294,0.0173801989,0.142857,-0.071429,0.261905,0.9942775392,0.1429734602,0.1330588449,1.0087799497,0.1849321284,0.7864353805,1.4307524621,1.2816497927,-0.0258247103,0.0450947502,0.4260746164,1.5609756098,0.8334358596,1.9717364142,3.4032605773
23,28.1875,30.75,-0.9599301585,0.137814325,0.1411998588,0.9402270781,0.142858,-1.309524,-0.738095,0.215447439,0.0534237014,0.0705999294,0.0492368849,0.095238,0.071429,0.357143,0.1085949024,0.1124945255,0.1411998588,0.0242935416,0.142857,-0.166667,0.309524,0.9978594216,0.1351174388,0.1147665891,1.0137575045,0.1561184618,0.7748161116,1.3625625501,1.3083628659,-0.1432823297,0.0002636677,0.3467460175,1.5609756098,0.7393975372,2.1634272196,3.0684629025
24,29.46875,32.03125,-0.9593494512,0.1316116908,0.1411998588,0.9374617672,0.142858,-1.357143,-0.738095,0.263066439,0.0802334783,0.0705999294,0.0755628574,0.095238,0.119048,0.5,0.1085949024,0.1097229774,0.1411998588,0.0236851659,0.142857,-0.166667,0.309524,1.0098626637,0.1307504293,0.1252435818,1.0367097905,0.172010299,0.7748161116,1.3921957999,1.3519168415,-0.1291282332,-0.0632648211,0.1190552017,1.5609756098,0.6930202426,2.6714689897,3.308183142
