"window","start_sec","end_sec","x_mean","x_sd","x_mad","x_energy","x_iqr","x_min","x_max","y_mean","y_sd","y_mad","y_energy","y_iqr","y_min","y_max","z_mean","z_sd","z_mad","z_energy","z_iqr","z_min","z_max","vm_mean","vm_sd","vm_mad","vm_energy","vm_iqr","vm_min","vm_max","sma","cor_xy","cor_xz","cor_yz","dom_freq","spec_energy","spec_entropy","jerk_rms"
1,0,2.5483870968,-0.3699904684,0.1375774671,0.1520243214,0.1555809168,0.1915285,-0.785889,-0.068604,0.8746013924,0.2017997707,0.0951962634,0.8051352602,0.141357,0.159668,1.95044,-0.1522510759,0.3210310046,0.2924665716,0.1249367276,0.3946535,-1.116699,0.314453,1.0318642237,0.1455238609,0.0787068812,1.0856529046,0.0947968675,0.8116028638,1.994188409,1.5008406076,0.3363998209,0.4680504686,0.5555170827,0.7848101266,0.8259105699,3.3625946641,5.1476707666
2,1.2903225806,3.8387096774,-0.4674581772,0.3294147773,0.200165826,0.3256576468,0.260376,-1.520508,0.56958,0.7942111266,0.2569261961,0.1867720176,0.6959468007,0.2482905,0.159668,1.95044,-0.2905891392,0.6433632852,0.4564347186,0.4931189175,0.5155025,-2.128174,1.749023,1.1696213252,0.385474006,0.1230780099,1.514723365,0.1730343785,0.6271431384,2.5939963354,1.8165854557,0.1120600077,0.696341878,0.146499466,0.3924050633,5.7950181619,2.9322416798,14.2581404841
3,2.5806451613,5.1290322581,-0.5558031519,0.4334859747,0.2910180714,0.4944486252,0.3757325,-1.540772,0.56958,0.7703131392,0.2474209883,0.1987188084,0.6538245774,0.2785645,0.077637,1.325684,-0.2306015949,0.8523889798,0.675783906,0.7705470182,1.1395265,-2.225586,1.749023,1.2987293375,0.4848693184,0.3142200361,1.9188202207,0.4744880705,0.6152157821,2.7379230961,2.0403140886,-0.0543957171,0.7161978662,0.1230368671,9.0253164557,9.1688319815,2.7914790102,18.3345196396
4,3.8709677419,6.4193548387,-0.5704608861,0.3622870101,0.2935518348,0.455016084,0.3686525,-1.540772,0.508789,0.7442179114,0.2250537744,0.223331451,0.6038683719,0.306518,0.077637,1.221924,-0.3625147722,0.6271550826,0.4520921832,0.5197616792,0.562744,-2.225586,1.628906,1.1947374622,0.3913918947,0.2615508061,1.5786461351,0.3478713063,0.6152157821,2.7379230961,1.8864931899,-0.0597496513,0.4927276567,0.1869522836,0.3924050633,5.9743169944,3.1635325423,14.3406866657
5,5.1612903226,7.7096774194,-0.5165736962,0.3174458895,0.218987433,0.3663446828,0.290161,-1.5979,0.392334,0.6916009367,0.3271376117,0.2269504776,0.5839762015,0.318481,-0.448975,2.375732,-0.244925557,0.5035489298,0.3782512902,0.3103404136,0.5198975,-1.218262,1.200928,1.0813886791,0.3040227299,0.1829028272,1.2606612979,0.257145797,0.4719943821,2.6024343533,1.716493962,0.0744208613,-0.0899137364,-0.3509692788,2.746835443,3.6047629927,3.2712296863,12.178550613
6,6.4516129032,9,-0.5676268987,0.3689255409,0.3120116874,0.4565834895,0.3936765,-1.5979,0.392334,0.3884678481,0.5263292739,0.4698270444,0.4244231596,0.907471,-0.47168,2.375732,0.264240519,0.57001423,0.5436679374,0.3906264107,0.8635255,-1.058594,1.200928,1.0803501341,0.3252938545,0.2129352141,1.2716330598,0.2615569501,0.3230318134,2.6024343533,1.7200881772,0.3926738808,-0.4636966261,-0.5307607573,3.1392405063,4.1268275789,2.9546036429,10.4504744073
7,7.7419354839,10.2903225806,-0.5720431139,0.3554535234,0.3196129776,0.4519811997,0.428467,-1.200684,0.251465,0.4731537468,0.5332100055,0.4962514242,0.5045884806,1.0108645,-0.47168,1.44165,0.3954830886,0.359925987,0.4336323306,0.2843137576,0.5509035,-0.490234,0.979248,1.0766511052,0.2876688134,0.2124816919,1.2408834379,0.2940576631,0.3230318134,1.8294411288,1.681328557,0.2812672117,-0.4291071505,-0.5499198993,2.746835443,3.2273805027,2.6027938823,7.9274719795
8,9.0322580645,11.5806451613,-0.4515427342,0.3344432821,0.3362625756,0.3143272977,0.4532465,-1.235107,0.299805,0.8414693038,0.2643506378,0.2320180044,0.7770672761,0.3197025,0.231201,1.44165,-0.0849888101,0.4407843178,0.4691035356,0.1990545353,0.613037,-1.056885,0.837891,1.0910203941,0.318445042,0.2461920795,1.2904491091,0.3485709467,0.4844516861,1.9977281226,1.6896911266,-0.565412505,0.2204628391,-0.3554264566,2.746835443,3.9548825459,2.4322032408,9.9103836291
9,10.3225806452,12.8709677419,-0.3574960127,0.3764355414,0.3250437414,0.267713398,0.4486085,-1.338623,0.362549,0.9105395063,0.2661924703,0.2439633126,0.8990436817,0.331299,0.181641,1.532227,-0.2386613671,0.4389091452,0.3720985002,0.2471619892,0.5030515,-1.205322,1.168213,1.1418602715,0.33389429,0.2404079332,1.4139190689,0.3667263188,0.4844516861,2.2463786256,1.7351013418,-0.6745767068,0.759568292,-0.4611588983,2.746835443,4.347930478,2.7764871219,10.6724811881
10,11.6129032258,14.1612903226,-0.2705294177,0.3597612749,0.3489328752,0.2009760094,0.484253,-1.338623,0.362549,0.8982737468,0.2695217606,0.2515646028,0.878618185,0.3250735,0.181641,1.532227,-0.2469683291,0.5190891184,0.4788783174,0.3270360644,0.6339115,-1.344971,1.168213,1.1423634543,0.3208411176,0.3068152623,1.4066302588,0.411374999,0.3906981822,2.2463786256,1.7105451139,-0.6288653294,0.6916743543,-0.374295619,3.5316455696,4.0146218862,3.0703501514,10.8198392111
