"frequency_hz","coherence","scipy_coherence"
0,0.998701,0.998701
0.244141,0.9955258,0.9955258
0.488281,0.10026344,0.10026344
0.732422,0.03450263,0.03450263
0.976562,0.07924119,0.07924119
1.220703,0.66573096,0.66573096
1.464844,0.89824218,0.89824218
1.708984,0.87870904,0.87870904
1.953125,0.21069035,0.21069035
2.197266,0.04956345,0.04956345
2.441406,0.01457835,0.01457835
2.685547,0.3666425,0.3666425
2.929688,0.8718233,0.8718233
3.173828,0.86226086,0.86226086
3.417969,0.31794737,0.31794737
3.662109,0.03200671,0.03200671
3.90625,0.08234344,0.08234344
4.150391,0.14351305,0.14351305
4.394531,0.8072652,0.8072652
4.638672,0.83338683,0.83338683
4.882812,0.7515008,0.7515008
5.126953,0.10988786,0.10988786
5.371094,0.11391934,0.11391934
5.615234,0.10687257,0.10687257
5.859375,0.56397034,0.56397034
6.103516,0.71052786,0.71052786
6.347656,0.50724272,0.50724272
6.591797,0.02820188,0.02820188
6.835938,0.01077481,0.01077481
7.080078,0.00925952,0.00925952
7.324219,0.34496216,0.34496216
7.568359,0.64493314,0.64493314
7.8125,0.60062399,0.60062399
8.056641,0.36717003,0.36717003
8.300781,0.01810868,0.01810868
8.544922,0.05063035,0.05063035
8.789062,0.19848342,0.19848342
9.033203,0.55507667,0.55507667
9.277344,0.58840812,0.58840812
9.521484,0.49138669,0.49138669
9.765625,0.01512081,0.01512081
