"frequency","coherence"
0,0.9987010011
0.24414062,0.9955258024
0.48828125,0.1002634419
0.73242188,0.0345026274
0.9765625,0.0792411919
1.22070312,0.665730956
1.46484375,0.8982421806
1.70898438,0.8787090352
1.953125,0.2106903544
2.19726562,0.0495634502
2.44140625,0.0145783465
2.68554688,0.3666424953
2.9296875,0.8718232955
3.17382812,0.8622608605
3.41796875,0.3179473728
3.66210938,0.0320067145
3.90625,0.0823434407
4.15039062,0.1435130534
4.39453125,0.8072652014
4.63867188,0.8333868343
4.8828125,0.7515007973
5.12695312,0.1098878575
5.37109375,0.1139193364
5.61523438,0.1068725708
5.859375,0.5639703394
6.10351562,0.7105278648
6.34765625,0.5072427221
6.59179688,0.0282018782
6.8359375,0.0107748073
7.08007812,0.009259517
7.32421875,0.3449621643
7.56835938,0.6449331423
7.8125,0.6006239915
8.05664062,0.367170034
8.30078125,0.0181086793
8.54492188,0.0506303499
8.7890625,0.1984834203
9.03320312,0.5550766724
9.27734375,0.588408124
9.52148438,0.4913866917
9.765625,0.0151208148
10.00976562,0.0716093082
10.25390625,0.0250896481
10.49804688,0.3699775237
10.7421875,0.408234775
10.98632812,0.1549217046
11.23046875,0.0008757759
11.47460938,0.0021813367
11.71875,0.0076539542
11.96289062,0.0264084404
12.20703125,0.0418498899
12.45117188,0.0030836267
12.6953125,0.0533191366
12.93945312,0.0172086597
13.18359375,0.0196470593
13.42773438,0.0455428108
13.671875,0.0573018837
13.91601562,0.0152241966
14.16015625,0.0460154693
14.40429688,0.0084206023
14.6484375,0.0071831632
14.89257812,0.0399141642
15.13671875,0.1160165322
15.38085938,0.0644527454
15.625,0.0566456081
15.86914062,0.0285260888
16.11328125,0.0040045541
16.35742188,0.0454855844
16.6015625,0.0934687984
16.84570312,0.0391588222
17.08984375,0.0321514314
17.33398438,0.0338302756
17.578125,0.0005815943
17.82226562,0.0025510508
18.06640625,0.0077062748
18.31054688,7.75534e-05
18.5546875,0.0036372639
18.79882812,0.0037813666
19.04296875,0.000684638
19.28710938,0.0127151745
19.53125,0.0115074031
19.77539062,0.0399197626
20.01953125,0.0156844804
20.26367188,0.0182870481
20.5078125,0.0092083209
20.75195312,0.0049120272
20.99609375,0.0188668638
21.24023438,0.0365122694
21.484375,0.0138587478
21.72851562,0.0140942975
21.97265625,0.0031572704
22.21679688,0.0027183861
22.4609375,0.0003362784
22.70507812,0.0010321784
22.94921875,0.0069247903
23.19335938,0.011194078
23.4375,0.0060658919
23.68164062,0.0071975627
23.92578125,0.0011606864
24.16992188,0.0041085899
24.4140625,0.0072412154
24.65820312,0.0341933731
24.90234375,0.0195019141
25.14648438,0.0059906133
25.390625,0.0027835264
25.63476562,0.0072652154
25.87890625,0.002589811
26.12304688,0.0127462827
26.3671875,0.0079085042
26.61132812,0.0005925237
26.85546875,0.008640535
27.09960938,0.005017901
27.34375,0.0008605995
27.58789062,0.0093976578
27.83203125,0.0141158949
28.07617188,0.0148947898
28.3203125,0.0322051876
28.56445312,0.0301616348
28.80859375,0.0016490492
29.05273438,0.001285836
29.296875,0.0014485804
29.54101562,0.0147122753
29.78515625,0.0130201562
30.02929688,0.0161475848
30.2734375,0.0002750809
30.51757812,0.0032984568
30.76171875,0.0026703378
31.00585938,0.0185105012
31.25,0.0044509157
31.49414062,0.0003915746
31.73828125,0.0096362266
31.98242188,0.0010523727
32.2265625,0.0159076445
32.47070312,0.0104204653
32.71484375,0.0071510067
32.95898438,0.0026452848
33.203125,0.0087779188
33.44726562,0.0071527639
33.69140625,0.0082583689
33.93554688,0.0032234916
34.1796875,0.0005001736
34.42382812,0.0148780753
34.66796875,0.0026202001
34.91210938,0.0251202737
35.15625,0.0191906689
35.40039062,0.0051644226
35.64453125,0.0058210475
35.88867188,0.0004489972
36.1328125,0.0126753333
36.37695312,0.0300676889
36.62109375,0.0259115421
36.86523438,0.0006864844
37.109375,0.0078081534
37.35351562,0.0068286468
37.59765625,0.0106457626
37.84179688,0.0065390316
38.0859375,0.0185784236
38.33007812,0.0048102698
38.57421875,0.0023032589
38.81835938,0.0008891926
39.0625,0.0077491055
39.30664062,0.0242099863
39.55078125,0.0198092686
39.79492188,0.0042374949
40.0390625,0.0041308507
40.28320312,0.0072168223
40.52734375,0.0213548938
40.77148438,0.0048798657
41.015625,0.0175175201
41.25976562,0.0085352188
41.50390625,0.0077345368
41.74804688,0.0067174209
41.9921875,0.0006006209
42.23632812,0.0024305922
42.48046875,0.005394406
42.72460938,0.0096534846
42.96875,0.0032919811
43.21289062,0.0059454487
43.45703125,0.0085621516
43.70117188,0.0200624255
43.9453125,0.0018033722
44.18945312,0.0145851744
44.43359375,0.0190021158
44.67773438,0.0042230659
44.921875,0.0013540925
45.16601562,0.0097618745
45.41015625,0.0185134809
45.65429688,0.0112356878
45.8984375,0.0041690083
46.14257812,6.09876e-05
46.38671875,0.0029436254
46.63085938,0.0118567575
46.875,0.0099185926
47.11914062,0.0138085574
47.36328125,0.0044786692
47.60742188,0.0062969964
47.8515625,0.0045130341
48.09570312,0.0074192106
48.33984375,0.0095900538
48.58398438,0.0017629367
48.828125,0.0054074327
49.07226562,0.0211673486
49.31640625,0.0026085637
49.56054688,0.01126605
49.8046875,0.003948859
50.04882812,0.0068627222
50.29296875,0.0020847918
50.53710938,0.0011659222
50.78125,0.006871764
51.02539062,0.0056407203
51.26953125,0.0068760776
51.51367188,0.011837087
51.7578125,0.0009937007
52.00195312,0.0303032185
52.24609375,0.0128728104
52.49023438,0.0049197898
52.734375,0.0049280787
52.97851562,0.0058275904
53.22265625,0.011469362
53.46679688,0.0029507799
53.7109375,0.0033926251
53.95507812,0.0021722832
54.19921875,0.0022602996
54.44335938,0.0153335951
54.6875,0.0163793564
54.93164062,0.0051997407
55.17578125,0.001397951
55.41992188,0.0059164643
55.6640625,0.0046147636
55.90820312,0.0001164959
56.15234375,0.0024075084
56.39648438,0.0106553715
56.640625,0.0012859863
56.88476562,0.0025947802
57.12890625,0.0126594607
57.37304688,0.005656402
