"lag_seconds","correlation_op","correlation_numpy"
-0.72,-0.01354694,-0.01354694
-0.712,0.02294669,0.02294669
-0.704,0.06019384,0.06019384
-0.696,0.0967944,0.0967944
-0.688,0.13154258,0.13154258
-0.68,0.16357215,0.16357215
-0.672,0.19246788,0.19246788
-0.664,0.21816767,0.21816767
-0.656,0.24074838,0.24074838
-0.648,0.26020914,0.26020914
-0.64,0.27643074,0.27643074
-0.632,0.28906261,0.28906261
-0.624,0.29761102,0.29761102
-0.616,0.30131612,0.30131612
-0.608,0.29939549,0.29939549
-0.6,0.29113283,0.29113283
-0.592,0.27617699,0.27617699
-0.584,0.25476738,0.25476738
-0.576,0.22780475,0.22780475
-0.568,0.19685675,0.19685675
-0.56,0.16397726,0.16397726
-0.552,0.13169245,0.13169245
-0.544,0.10277936,0.10277936
-0.536,0.07984475,0.07984475
-0.528,0.06486814,0.06486814
-0.52,0.05875893,0.05875893
-0.512,0.06136706,0.06136706
-0.504,0.07176115,0.07176115
-0.496,0.08845313,0.08845313
-0.488,0.10969081,0.10969081
-0.48,0.13358868,0.13358868
-0.472,0.15817776,0.15817776
-0.464,0.18156504,0.18156504
-0.456,0.20212188,0.20212188
-0.448,0.21853536,0.21853536
-0.44,0.2299114,0.2299114
-0.432,0.23568985,0.23568985
-0.424,0.23552358,0.23552358
-0.416,0.22938165,0.22938165
-0.408,0.21732218,0.21732218
-0.4,0.1995819,0.1995819
-0.392,0.17646075,0.17646075
-0.384,0.14829793,0.14829793
-0.376,0.11547785,0.11547785
-0.368,0.0784938,0.0784938
-0.36,0.03808282,0.03808282
-0.352,-0.00476039,-0.00476039
-0.344,-0.04887245,-0.04887245
-0.336,-0.09298047,-0.09298047
-0.328,-0.13581607,-0.13581607
-0.32,-0.17619469,-0.17619469
-0.312,-0.2129912,-0.2129912
-0.304,-0.24528659,-0.24528659
-0.296,-0.27231199,-0.27231199
-0.288,-0.29359281,-0.29359281
-0.28,-0.30895683,-0.30895683
-0.272,-0.318598,-0.318598
-0.264,-0.3229423,-0.3229423
-0.256,-0.3226232,-0.3226232
-0.248,-0.31836781,-0.31836781
-0.24,-0.31090319,-0.31090319
-0.232,-0.301047,-0.301047
-0.224,-0.28960233,-0.28960233
-0.216,-0.27727691,-0.27727691
-0.208,-0.2646326,-0.2646326
-0.2,-0.25208856,-0.25208856
-0.192,-0.24004827,-0.24004827
