"channel","beat","sample","rr_pre_ms","rr_post_ms","prematurity","compensatory","morph_corr","is_pvc"
1,1,58,NA,816.6666666667,NA,NA,0.6116333149,FALSE
1,2,352,816.6666666667,1038.8888888889,0.8776119403,0.9970149254,0.9909311639,FALSE
1,3,726,1038.8888888889,1002.7777777778,1.1164179104,1.0970149254,0.9899248432,FALSE
1,4,1087,1002.7777777778,1005.5555555556,1.0776119403,1.0791044776,0.9906666554,FALSE
1,5,1449,1005.5555555556,1061.1111111111,1.0805970149,1.1104477612,0.9921628187,FALSE
1,6,1831,1061.1111111111,1022.2222222222,1.1402985075,1.1194029851,0.979804747,FALSE
1,7,2199,1022.2222222222,1036.1111111111,1.0985074627,1.1059701493,0.9924669278,FALSE
1,8,2572,1036.1111111111,966.6666666667,1.1134328358,1.076119403,0.9910091498,FALSE
1,9,2920,966.6666666667,875,1.0388059701,0.9895522388,0.9878761567,FALSE
1,10,3235,875,936.1111111111,0.9402985075,0.9731343284,0.9932848013,FALSE
1,11,3572,936.1111111111,1000,1.0059701493,1.0402985075,0.9939013085,FALSE
1,12,3932,1000,975,1.0746268657,1.0611940299,0.9974402167,FALSE
1,13,4283,975,919.4444444444,1.047761194,1.0179104478,0.9945136756,FALSE
1,14,4614,919.4444444444,927.7777777778,0.9880597015,0.9925373134,0.9872163788,FALSE
1,15,4948,927.7777777778,855.5555555556,0.9970149254,0.9582089552,0.9825178494,FALSE
1,16,5256,855.5555555556,841.6666666667,0.9194029851,0.9119402985,0.9952603945,FALSE
1,17,5559,841.6666666667,847.2222222222,0.9044776119,0.9074626866,0.9894994155,FALSE
1,18,5864,847.2222222222,866.6666666667,0.9104477612,0.9208955224,0.9957360564,FALSE
1,19,6176,866.6666666667,825,0.9313432836,0.9089552239,0.9855174945,FALSE
1,20,6473,825,791.6666666667,0.8865671642,0.8686567164,0.9939856011,FALSE
1,21,6758,791.6666666667,800,0.8507462687,0.8552238806,0.9959659554,FALSE
1,22,7046,800,808.3333333333,0.8597014925,0.8641791045,0.9923943035,FALSE
1,23,7337,808.3333333333,775,0.8686567164,0.8507462687,0.9877792807,FALSE
1,24,7616,775,783.3333333333,0.8328358209,0.8373134328,0.9734207468,FALSE
1,25,7898,783.3333333333,794.4444444444,0.8417910448,0.847761194,0.9912320474,FALSE
