"subject","alpha_eyes_closed","alpha_eyes_open","alpha_drop","reactive","dominant_closed"
"S001",0.628399,0.12301,0.505389,TRUE,TRUE
"S002",0.744306,0.18515,0.559156,TRUE,TRUE
"S003",0.721457,0.11824,0.603216,TRUE,TRUE
"S004",0.593457,0.067451,0.526006,TRUE,TRUE
"S005",0.056112,0.031149,0.024964,TRUE,FALSE
"S006",0.085101,0.063388,0.021713,TRUE,FALSE
"S007",0.58858,0.335686,0.252894,TRUE,TRUE
"S008",0.343339,0.073581,0.269758,TRUE,FALSE
"S009",0.169417,0.041,0.128417,TRUE,FALSE
"S010",0.250195,0.06588,0.184315,TRUE,FALSE
