"channel","exp_specparam","exp_fooof","abs_diff","r_squared"
"Fc5",1.322242,1.357213,0.034971,0.963924
"Fc3",1.432715,1.492679,0.059964,0.954301
"Fc1",1.48907,1.562577,0.073507,0.947585
"Fcz",1.490689,1.572755,0.082066,0.948816
"Fc2",1.488213,1.574167,0.085954,0.945785
"Fc4",1.478194,1.548742,0.070548,0.950571
"Fc6",1.364868,1.420215,0.055347,0.96155
"C5",1.274163,1.303116,0.028953,0.956448
"C3",1.423821,1.45085,0.027029,0.948918
"C1",1.510072,1.537248,0.027176,0.949196
"Cz",1.514626,1.544743,0.030117,0.955653
"C2",1.50458,1.558159,0.053578,0.950752
"C4",1.450715,1.523142,0.072428,0.943106
"C6",1.244465,1.320351,0.075886,0.946609
"Cp5",1.355351,1.376078,0.020726,0.937617
"Cp3",1.470532,1.533151,0.062619,0.929744
"Cp1",1.506084,1.540821,0.034736,0.935338
"Cpz",1.513457,1.561776,0.048318,0.942733
"Cp2",1.505209,1.564459,0.05925,0.935574
"Cp4",1.475877,1.546683,0.070806,0.928106
"Cp6",1.407206,1.469334,0.062128,0.940548
"Fp1",1.374029,1.483727,0.109698,0.989604
"Fpz",1.55348,1.562914,0.009434,0.978629
"Fp2",1.475035,1.581009,0.105974,0.98213
"Af7",1.333146,1.412889,0.079743,0.987851
"Af3",1.409387,1.416875,0.007488,0.98202
"Afz",1.527113,1.598286,0.071173,0.958409
"Af4",1.546184,1.611383,0.065199,0.963673
"Af8",1.455681,1.586913,0.131233,0.978634
"F7",1.289982,1.298476,0.008494,0.982932
"F5",1.381328,1.410833,0.029505,0.977139
"F3",1.524556,1.600092,0.075536,0.954375
"F1",1.479332,1.557867,0.078535,0.946657
"Fz",1.502262,1.569596,0.067334,0.948606
"F2",1.488492,1.574597,0.086105,0.948562
"F4",1.498625,1.580742,0.082117,0.951508
"F6",1.45695,1.53801,0.08106,0.957604
"F8",1.507773,1.533477,0.025704,0.975414
"Ft7",1.23662,1.233302,0.003319,0.972222
"Ft8",1.27855,1.32506,0.04651,0.959433
"T7",1.136704,1.177206,0.040503,0.941779
"T8",0.521296,0.668808,0.147512,0.883616
"T9",1.194034,1.210396,0.016362,0.96152
"T10",0.181104,0.431954,0.25085,0.758032
"Tp7",1.236955,1.305505,0.06855,0.943539
"Tp8",1.394085,1.420478,0.026393,0.969169
"P7",1.335163,1.360275,0.025112,0.911217
"P5",1.443654,1.520255,0.076601,0.908875
"P3",1.488391,1.549858,0.061467,0.909611
"P1",1.505609,1.582905,0.077297,0.91327
"Pz",1.527202,1.596637,0.069435,0.922909
"P2",1.481089,1.554694,0.073605,0.912496
"P4",1.441931,1.519416,0.077485,0.91373
"P6",1.397043,1.478898,0.081855,0.920288
"P8",1.330257,1.389678,0.05942,0.929149
"Po7",1.42814,1.516472,0.088332,0.883188
"Po3",1.473656,1.562577,0.08892,0.891699
"Poz",1.494716,1.576199,0.081483,0.901415
"Po4",1.383584,1.468421,0.084837,0.887061
"Po8",1.300353,1.403053,0.1027,0.876904
"O1",1.46457,1.649134,0.184565,0.786305
"Oz",1.366772,1.529592,0.16282,0.800507
"O2",1.376883,1.532964,0.156081,0.809774
"Iz",1.155473,1.231578,0.076105,0.843162
