"channel","offset","exponent","r_squared","error"
"Fc5.",2.6790947352,1.3222418603,0.9639235902,0.1069904872
"Fc3.",2.821303975,1.4327151157,0.9543006894,0.1327951343
"Fc1.",2.8940214923,1.4890703298,0.9475848638,0.1481680188
"Fcz.",2.907090439,1.4906888319,0.9488160566,0.1464335402
"Fc2.",2.8605888539,1.4882129814,0.9457854377,0.1520443335
"Fc4.",2.7760431245,1.4781937347,0.9505712286,0.143666902
"Fc6.",2.5375468696,1.3648683189,0.9615495232,0.1154813938
"C5..",2.6723520161,1.2741633105,0.9564477237,0.1146759208
"C3..",2.8172103601,1.4238208808,0.9489183858,0.1411580955
"C1..",2.9149561444,1.5100719162,0.9491963149,0.148025658
"Cz..",2.9403359479,1.5146259692,0.9556527622,0.1376720082
"C2..",2.8808429435,1.5045802833,0.9507520826,0.1455764221
"C4..",2.7317191039,1.4507147405,0.9431057446,0.1532039548
"C6..",2.4396322897,1.2444647915,0.9466088425,0.125216847
"Cp5.",2.7642769591,1.3553514414,0.9376167637,0.1509777234
"Cp3.",2.8689903522,1.4705321477,0.9297442014,0.1754845444
"Cp1.",2.9209955931,1.5060842158,0.9353383555,0.1712488962
"Cpz.",2.9302674748,1.5134573383,0.9427334393,0.1608801165
"Cp2.",2.8664500162,1.5052094035,0.9355743552,0.1713077287
"Cp4.",2.7986122779,1.4758774735,0.9281060031,0.1796433067
"Cp6.",2.6234460963,1.4072058742,0.9405475307,0.154045634
"Fp1.",2.7252571659,1.3740287408,0.9896041004,0.0606499088
"Fpz.",2.8536585606,1.5534800373,0.9786287199,0.0924358009
"Fp2.",2.727783102,1.47503495,0.9821297272,0.0857181926
"Af7.",2.7159557152,1.3331460964,0.9878510228,0.0624732843
"Af3.",2.8059904062,1.4093871258,0.9820196957,0.0762275374
"Afz.",2.8657726744,1.5271132867,0.9584088348,0.1333252876
"Af4.",2.8219268738,1.5461836133,0.9636730466,0.1242478785
"Af8.",2.6789221773,1.4556805784,0.9786342928,0.0932279918
"F7..",2.6489571543,1.2899818129,0.9829320397,0.0687738265
"F5..",2.8162606317,1.3813276645,0.9771385925,0.0857777043
"F3..",2.8341937402,1.5245560479,0.9543749838,0.1408000817
"F1..",2.8658606517,1.479331737,0.9466574925,0.1480805036
"Fz..",2.8896371561,1.5022623101,0.9486062485,0.147847077
"F2..",2.8311495682,1.4884918474,0.9485619423,0.1470490788
"F4..",2.7883834067,1.4986253566,0.951508067,0.1437944367
"F6..",2.6975891634,1.4569497173,0.9576041518,0.1286062357
"F8..",2.7281095498,1.5077730712,0.9754135445,0.0948133793
"Ft7.",2.5848004168,1.2366204826,0.9722217318,0.0858219251
"Ft8.",2.2953763624,1.2785501976,0.959433461,0.1099323513
"T7..",2.505299695,1.1367037905,0.9417787878,0.1169307361
"T8..",1.6698791825,0.5212958204,0.88361574,0.1111386183
"T9..",2.3984874461,1.1940343598,0.9615203741,0.1017464953
"T10.",0.8143745545,0.1811042102,0.7580324989,0.1505967169
"Tp7.",2.4801337153,1.2369548811,0.9435392776,0.1359817797
"Tp8.",2.3961759867,1.394084996,0.9691690845,0.1077762804
"P7..",2.7661210741,1.3351628168,0.9112171473,0.1877762147
"P5..",2.8696499152,1.4436539707,0.9088752694,0.2075140217
"P3..",2.9075573558,1.4883907375,0.9096108933,0.2134917826
"P1..",2.9357462744,1.5056086386,0.9132697421,0.2137258221
"Pz..",2.9425453603,1.5272016787,0.9229093825,0.199431235
"P2..",2.8838930367,1.4810890328,0.9124962966,0.2126344342
"P4..",2.7992028529,1.4419305897,0.9137297099,0.2069825203
"P6..",2.6823277338,1.3970430126,0.9202877462,0.1987327456
"P8..",2.5545250171,1.3302573422,0.9291494366,0.1840082432
"Po7.",2.9245541719,1.4281401001,0.8831884434,0.2532157197
"Po3.",2.9547363102,1.4736562261,0.8916987142,0.2477567046
"Poz.",2.9618068568,1.4947163731,0.9014145394,0.2376778242
"Po4.",2.8419149082,1.3835841296,0.8870612114,0.24954077
"Po8.",2.8312923514,1.3003533316,0.8769043981,0.2617615159
"O1..",2.9900396183,1.4645696263,0.7863045581,0.3827632109
"Oz..",2.9031529247,1.3667715733,0.8005065791,0.3369422367
"O2..",3.0087767349,1.3768834451,0.8097737654,0.3261496836
"Iz..",2.7182462415,1.1554734297,0.8431619241,0.2445410246
