"channel","delta","theta","alpha","beta","gamma"
"Fc5.",171.6106719402,42.1096749362,227.4427306643,137.7429233618,114.574995603
"Fc3.",216.606503468,76.9799698692,344.0831209764,168.7543631151,96.5392032563
"Fc1.",249.7637784732,102.210768111,441.6285859456,203.1000882174,90.4425640401
"Fcz.",241.0331192533,128.1796526214,499.5361072559,246.1222917134,99.3028945362
"Fc2.",262.5648951452,114.6544077661,423.14474962,224.2098562429,85.2559937448
"Fc4.",226.9124009763,95.7741472747,313.3178552547,193.3928286368,73.1293832864
"Fc6.",156.3918961169,58.7720869413,177.0058107698,134.2634598221,61.4009562155
"C5..",151.4191961524,32.7868658532,194.2019632789,151.143924835,210.6915152916
"C3..",171.5212568964,64.0818775435,354.292771125,172.1425429991,109.071638212
"C1..",298.0444144485,82.423834164,500.196218222,227.2474881431,108.697986725
"Cz..",248.905816131,105.0358421395,593.0080666098,323.4726057972,114.6763158362
"C2..",250.840912395,105.7827239991,523.6302869422,240.6225293868,89.9905567713
"C4..",187.9938914056,81.7826016351,338.7864113573,187.2828003262,73.7082860557
"C6..",161.2092236609,45.1978878182,150.8173741935,110.3260349088,72.9684452947
"Cp5.",236.0986815823,47.2497329573,259.0466506448,131.6004041305,111.7593056623
"Cp3.",201.1302658514,67.0746699337,459.734636863,200.8124793486,110.3307428336
"Cp1.",196.7845628482,80.8570100997,677.3323101236,244.1596476048,100.2312846326
"Cpz.",369.3095008932,108.3920031324,900.4827341483,302.5925070536,104.4667017036
"Cp2.",238.5209247476,89.2444962607,867.945140747,253.4350185981,88.3156383164
"Cp4.",178.4490111947,74.151651946,582.9727253512,203.9272238666,78.76800198
"Cp6.",116.7909506036,44.8245989531,387.8039265819,136.0670056972,74.1309247616
"Fp1.",681.2674835505,56.5711844299,260.300376315,174.7333587743,231.5571450295
"Fpz.",594.2847076988,52.9531725356,254.9991505374,130.3478288433,161.2538906683
"Fp2.",606.4440588394,51.7864684256,254.1786124897,133.0474504683,177.4951408957
"Af7.",1174.565586649,40.6321374788,221.7394766832,154.2534641851,180.8648211728
"Af3.",325.5362073758,64.061661227,306.2055897063,151.4258475365,126.6074380078
"Afz.",339.8757446349,86.3342350977,336.2143968114,152.3074333269,75.6953009907
"Af4.",309.5256121721,69.1572990011,265.9216978043,146.8003858338,99.5633009486
"Af8.",681.0307803628,49.3588330774,218.023866622,136.5273574257,157.6093142532
"F7..",330.8881625504,38.009298797,191.440298291,105.3786471686,117.9874842942
"F5..",331.6593067471,76.377062461,291.8956455346,153.3629101286,107.8567544541
"F3..",252.2854368573,82.1134629256,364.0290451258,170.6342349272,81.6464559244
"F1..",271.3238092565,97.4356032855,404.1166611905,182.9867654855,73.2985557405
"Fz..",284.9993921606,108.4165370342,423.2386088619,186.6471187268,67.6469059923
"F2..",237.4341490624,103.8372794449,364.8208049991,181.6122132545,64.8165161995
"F4..",254.7037005206,96.6075511561,321.515675753,182.8195953007,62.6481495601
"F6..",326.7933020223,69.4886126091,218.4197193236,165.7393794009,73.6948980898
"F8..",163.7972352948,33.7863053949,126.1289523651,94.3659743874,69.8643407394
"Ft7.",127.2019398528,29.4157061303,166.7192880131,95.3061018177,106.8122415314
"Ft8.",96.6056574182,23.3927260577,78.2710311208,65.1560923236,52.4472396056
"T7..",121.1760535817,36.9275494986,175.9004220636,632.8366224836,1915.4571829312
"T8..",78.9616267874,18.7548254609,85.7476784309,141.787203419,186.4249118521
"T9..",71.3176086776,21.2368938639,86.5353769072,65.1593699125,134.7683256212
"T10.",67.0640076732,9.6513600671,22.1170080277,52.6769047949,116.9585625144
"Tp7.",77.7304705493,27.1454070751,151.3515801845,96.9271099486,182.9365855861
"Tp8.",150.0696682195,25.1558379263,191.8387496088,76.8109857594,74.8300964051
"P7..",123.3312012588,41.3257126786,376.8452422574,140.8896188885,90.6110481623
"P5..",289.2577647169,94.408105727,595.987389795,170.6559479282,94.4785701375
"P3..",196.7112137218,66.777910867,720.9112375838,192.825282887,96.507180523
"P1..",208.6479041428,73.2879087868,1157.3506587243,237.4079975582,87.5299293292
"Pz..",219.5040411127,92.7586251445,1300.604032199,267.3376117679,93.1214483374
"P2..",222.1115023878,92.3847031904,1321.1364867158,254.6820917474,88.4621131449
"P4..",183.1163799221,78.7771357918,1050.6788640569,223.0008801372,81.1345113652
"P6..",137.0268580589,62.5353126116,958.2702481263,190.8973568941,82.9999557525
"P8..",112.912569768,42.6484195965,621.8409997276,131.8573163137,75.4819988912
"Po7.",162.8909847641,79.7730002394,1172.3423211659,221.0457438914,104.8153717554
"Po3.",324.8591663235,103.819513541,1181.3994556232,227.9973939282,100.2786961903
"Poz.",265.2446842124,116.0092186866,2464.8094485676,405.289765739,104.9457274077
"Po4.",169.6897638962,81.6021995111,1623.3984995469,258.3075005335,88.0222880189
"Po8.",881.9160950356,92.2703419657,1897.9518941704,288.8652049476,104.3285994995
"O1..",257.5310822852,107.1588014914,2104.7323804688,296.5788850283,113.23329684
"Oz..",173.137748714,82.3021718274,1424.8858227848,253.8552074388,116.5533553015
"O2..",321.4521226017,124.0843001768,3121.7889888082,516.4476313405,209.0238829531
"Iz..",183.1996860586,81.8251663208,1419.4495695592,252.7947418942,117.2559752913
