"channel","hjorth_mobility","hjorth_complexity","mobility_antropy"
"Fc5",0.79952576,1.88288014,0.7995256
"Fc3",0.68146524,2.02030613,0.68146511
"Fc1",0.6352694,2.05960185,0.63526927
"Fcz",0.63284944,2.03178095,0.63284931
"Fc2",0.62951412,2.05738837,0.629514
"Fc4",0.63796912,2.05905457,0.637969
"Fc6",0.68725344,2.02452078,0.6872533
"C5",0.9663385,1.64625109,0.96633832
"C3",0.7090889,1.94711437,0.70908876
"C1",0.64161996,2.03025157,0.64161984
"Cz",0.64846422,1.92140472,0.64846409
"C2",0.62375416,2.02825476,0.62375403
"C4",0.6508055,1.99204671,0.65080537
"C6",0.74830905,1.92667203,0.7483089
"Cp5",0.73928749,1.97547782,0.73928734
"Cp3",0.67219933,1.99036962,0.6721992
"Cp1",0.6223148,1.99174685,0.62231468
"Cpz",0.5835088,2.04761272,0.58350869
"Cp2",0.58831639,2.02910872,0.58831628
"Cp4",0.62031304,2.00544762,0.62031292
"Cp6",0.67492052,1.95885481,0.67492039
"Fp1",0.90587913,1.7818021,0.90587895
"Fpz",0.82492719,1.94721841,0.82492703
"Fp2",0.90117894,1.80407184,0.90117877
"Af7",0.86224402,1.8562751,0.86224385
"Af3",0.7486044,1.99736234,0.74860425
"Afz",0.62957696,2.20624449,0.62957684
"Af4",0.71857656,2.07957026,0.71857642
"Af8",0.843345,1.87947372,0.84334483
"F7",0.81641806,1.9289402,0.8164179
"F5",0.69048529,2.11807664,0.69048516
"F3",0.65102525,2.08014341,0.65102512
"F1",0.6009504,2.16927171,0.60095028
"Fz",0.59134353,2.15299047,0.59134341
"F2",0.60774301,2.1143952,0.60774289
"F4",0.60300371,2.12777134,0.60300359
"F6",0.68373851,2.03504399,0.68373837
"F8",0.77959713,1.9573985,0.77959698
"Ft7",0.8468878,1.87841061,0.84688764
"Ft8",0.80475341,1.91723985,0.80475326
"T7",1.45468071,1.18780844,1.45468042
"T8",1.05459161,1.49118386,1.0545914
"T9",1.08687628,1.56289827,1.08687607
"T10",1.18302347,1.41951749,1.18302324
"Tp7",1.06248749,1.58188929,1.06248728
"Tp8",0.72722615,2.10031928,0.72722601
"P7",0.69929904,1.97769944,0.6992989
"P5",0.60048565,2.12388805,0.60048553
"P3",0.61130425,2.01826209,0.61130413
"P1",0.56857885,1.96387897,0.56857874
"Pz",0.56345577,1.98381149,0.56345566
"P2",0.56089959,1.9836213,0.56089948
"P4",0.58050418,1.976597,0.58050407
"P6",0.59851586,1.99349642,0.59851574
"P8",0.6407265,1.99071866,0.64072637
"Po7",0.59513793,2.01289333,0.59513782
"Po3",0.55298155,2.0801103,0.55298144
"Poz",0.53195199,1.84746837,0.53195189
"Po4",0.55927732,1.95267751,0.55927721
"Po8",0.55442801,2.00354647,0.55442791
"O1",0.54422954,1.95667273,0.54422943
"Oz",0.59402997,2.02737578,0.59402986
"O2",0.59160067,1.9595052,0.59160055
"Iz",0.59538682,2.02942038,0.59538671
