"channel","hjorth_mobility","hjorth_complexity"
"Fc5.",0.7995257552,1.8828801391
"Fc3.",0.6814652384,2.0203061308
"Fc1.",0.6352693969,2.0596018533
"Fcz.",0.6328494381,2.0317809457
"Fc2.",0.6295141218,2.0573883742
"Fc4.",0.637969122,2.0590545684
"Fc6.",0.6872534352,2.0245207831
"C5..",0.9663385042,1.6462510911
"C3..",0.7090888959,1.9471143683
"C1..",0.6416199606,2.0302515712
"Cz..",0.6484642199,1.9214047152
"C2..",0.6237541562,2.0282547571
"C4..",0.6508054982,1.9920467138
"C6..",0.7483090485,1.9266720276
"Cp5.",0.7392874881,1.9754778229
"Cp3.",0.6721993334,1.9903696169
"Cp1.",0.6223147969,1.9917468533
"Cpz.",0.5835088041,2.0476127183
"Cp2.",0.5883163949,2.0291087206
"Cp4.",0.6203130447,2.0054476217
"Cp6.",0.6749205222,1.9588548149
"Fp1.",0.9058791304,1.7818020972
"Fpz.",0.8249271903,1.9472184102
"Fp2.",0.9011789426,1.8040718355
"Af7.",0.8622440211,1.8562751036
"Af3.",0.7486044005,1.9973623432
"Afz.",0.6295769586,2.2062444924
"Af4.",0.7185765642,2.0795702606
"Af8.",0.8433449983,1.8794737191
"F7..",0.8164180556,1.9289401972
"F5..",0.6904852922,2.1180766386
"F3..",0.6510252485,2.0801434085
"F1..",0.6009504007,2.1692717086
"Fz..",0.5913435279,2.1529904676
"F2..",0.6077430067,2.1143951958
"F4..",0.6030037076,2.1277713406
"F6..",0.6837385064,2.0350439851
"F8..",0.7795971333,1.957398503
"Ft7.",0.8468878041,1.8784106145
"Ft8.",0.8047534148,1.9172398503
"T7..",1.4546807059,1.1878084399
"T8..",1.0545916095,1.4911838643
"T9..",1.0868762808,1.5628982697
"T10.",1.1830234731,1.4195174872
"Tp7.",1.0624874928,1.5818892906
"Tp8.",0.7272261484,2.1003192801
"P7..",0.699299038,1.9776994413
"P5..",0.600485648,2.1238880525
"P3..",0.6113042491,2.0182620884
"P1..",0.5685788543,1.9638789736
"Pz..",0.5634557665,1.9838114855
"P2..",0.5608995943,1.9836213013
"P4..",0.5805041786,1.9765969996
"P6..",0.5985158615,1.9934964245
"P8..",0.6407264965,1.9907186577
"Po7.",0.5951379342,2.0128933251
"Po3.",0.5529815451,2.0801102952
"Poz.",0.5319519914,1.8474683685
"Po4.",0.559277318,1.9526775062
"Po8.",0.554428014,2.0035464726
"O1..",0.5442295392,1.9566727316
"Oz..",0.5940299731,2.0273757773
"O2..",0.5916006656,1.959505203
"Iz..",0.5953868227,2.0294203779
