"frequency_hz","psd_op","psd_scipy_recon","psd_mne"
0,858.56678,858.56678,855.94452
0.1,766.11371,766.11371,1517.1379
0.2,616.2908,616.2908,1221.5668
0.3,586.86883,586.86883,1116.1113
0.4,594.44762,594.44762,1174.2188
0.5,490.39401,490.39401,990.84278
0.6,443.71782,443.71782,894.25097
0.7,331.82803,331.82803,660.68004
0.8,296.56111,296.56111,596.34329
0.9,306.86523,306.86523,618.51568
1,262.36517,262.36517,528.01322
1.1,249.38796,249.38796,499.51465
1.2,221.76426,221.76426,444.97581
1.3,142.17837,142.17837,285.05119
1.4,135.06882,135.06882,272.74711
1.5,174.00725,174.00725,349.13766
1.6,191.77307,191.77307,379.65603
1.7,176.52059,176.52059,354.3973
1.8,142.89703,142.89703,286.7367
1.9,116.60532,116.60532,232.97
2,113.86489,113.86489,227.38254
2.1,82.938777,82.938777,166.00012
2.2,52.672655,52.672655,104.70517
2.3,45.18735,45.18735,89.615015
2.4,26.033956,26.033956,51.220405
2.5,29.0362,29.0362,57.581613
2.6,56.479894,56.479894,109.46794
2.7,69.618394,69.618394,137.57226
2.8,70.788805,70.788805,139.97084
2.9,67.65375,67.65375,133.49671
3,64.475528,64.475528,128.99396
3.1,60.822366,60.822366,121.47986
3.2,49.252032,49.252032,98.699861
3.3,58.25531,58.25531,114.5728
3.4,35.052543,35.052543,69.99828
3.5,57.519458,57.519458,113.65179
3.6,55.497371,55.497371,110.83686
3.7,56.437364,56.437364,113.7195
3.8,60.682355,60.682355,120.42913
3.9,79.294933,79.294933,158.81946
4,64.80952,64.80952,130.64497
4.1,77.467726,77.467726,154.68427
4.2,71.874325,71.874325,142.94982
4.3,62.195511,62.195511,124.5416
4.4,58.26949,58.26949,117.16486
4.5,59.498914,59.498914,119.41328
4.6,40.432201,40.432201,81.110183
4.7,29.392946,29.392946,58.70782
4.8,24.489813,24.489813,48.117458
4.9,15.960733,15.960733,31.977835
5,22.148866,22.148866,44.462849
5.1,32.410123,32.410123,64.323145
5.2,30.480509,30.480509,61.221999
5.3,30.743366,30.743366,61.97058
5.4,32.409122,32.409122,65.239648
5.5,37.715708,37.715708,74.521438
5.6,30.542542,30.542542,61.589334
5.7,30.069619,30.069619,60.443454
5.8,19.994873,19.994873,39.595534
5.9,12.036646,12.036646,24.146749
6,10.874383,10.874383,21.910796
6.1,9.8870761,9.8870761,19.928399
6.2,17.448191,17.448191,34.149068
6.3,11.69339,11.69339,23.517544
6.4,13.261406,13.261406,26.735418
6.5,15.90816,15.90816,31.903553
6.6,19.631989,19.631989,39.140993
6.7,21.108022,21.108022,42.078644
6.8,26.657023,26.657023,53.13486
6.9,27.122631,27.122631,54.671219
7,29.011196,29.011196,58.155122
7.1,33.384517,33.384517,66.729258
7.2,35.925588,35.925588,71.712166
7.3,43.805839,43.805839,88.474425
7.4,44.910853,44.910853,90.115403
7.5,47.72563,47.72563,95.689081
7.6,39.599323,39.599323,79.06767
7.7,39.361449,39.361449,78.03616
7.8,37.031301,37.031301,73.509433
7.9,42.162086,42.162086,83.413205
8,28.998458,28.998458,58.502955
8.1,34.750561,34.750561,69.249647
8.2,36.749698,36.749698,73.953235
8.3,34.765916,34.765916,70.128266
8.4,38.760942,38.760942,77.651962
8.5,37.65363,37.65363,75.821924
8.6,41.955286,41.955286,83.875685
8.7,41.42691,41.42691,82.932669
8.8,45.700056,45.700056,91.64672
8.9,36.54531,36.54531,73.586008
9,56.739999,56.739999,111.39784
9.1,67.089937,67.089937,132.25594
9.2,54.092756,54.092756,109.06202
9.3,52.438788,52.438788,105.49382
9.4,55.839174,55.839174,110.34991
9.5,51.453616,51.453616,102.63135
9.6,69.981537,69.981537,141.11484
9.7,67.859945,67.859945,135.58352
9.8,106.08851,106.08851,208.81937
9.9,279.38591,279.38591,553.14552
10,314.25702,314.25702,629.23638
10.1,594.73868,594.73868,1183.0213
10.2,591.51118,591.51118,1190.6322
10.3,610.89454,610.89454,1223.2109
10.4,914.98034,914.98034,1843.6139
