"frequency","psd"
0,858.5667847043
0.1,766.1137084041
0.2,616.2907969195
0.3,586.8688277484
0.4,594.4476213929
0.5,490.394010951
0.6,443.7178161518
0.7,331.8280320751
0.8,296.5611107204
0.9,306.8652257888
1,262.3651732207
1.1,249.3879626876
1.2,221.7642554312
1.3,142.1783652412
1.4,135.0688242346
1.5,174.0072495212
1.6,191.7730678927
1.7,176.5205883315
1.8,142.8970321249
1.9,116.605318793
2,113.8648937945
2.1,82.9387770405
2.2,52.6726550484
2.3,45.1873504495
2.4,26.0339562663
2.5,29.0362004607
2.6,56.4798944781
2.7,69.618394485
2.8,70.7888046378
2.9,67.6537502881
3,64.4755281897
3.1,60.822366169
3.2,49.2520322124
3.3,58.2553102641
3.4,35.0525427029
3.5,57.5194581971
3.6,55.4973713169
3.7,56.4373636948
3.8,60.6823549887
3.9,79.2949331627
4,64.809519711
4.1,77.4677257869
4.2,71.8743254133
4.3,62.1955105221
4.4,58.2694902043
4.5,59.4989144186
4.6,40.4322007903
4.7,29.3929463087
4.8,24.4898128968
4.9,15.9607325625
5,22.148865742
5.1,32.4101227088
5.2,30.4805094794
5.3,30.7433660314
5.4,32.4091217502
5.5,37.7157079311
5.6,30.5425416834
5.7,30.0696190294
5.8,19.9948730782
5.9,12.0366459768
6,10.8743826352
6.1,9.8870760919
6.2,17.4481914246
6.3,11.6933904635
6.4,13.261406381
6.5,15.9081602348
6.6,19.6319885779
6.7,21.1080221406
6.8,26.657022907
6.9,27.1226314625
7,29.0111957551
7.1,33.384516519
7.2,35.9255881198
7.3,43.8058392415
7.4,44.9108532871
7.5,47.7256303819
7.6,39.599322959
7.7,39.3614485219
7.8,37.0313013491
7.9,42.1620861106
8,28.9984579244
8.1,34.7505607628
8.2,36.7496976614
8.3,34.765916384
8.4,38.7609419149
8.5,37.6536304588
8.6,41.9552862391
8.7,41.4269099616
8.8,45.7000558625
8.9,36.5453100023
9,56.7399989268
9.1,67.089937376
9.2,54.0927559208
9.3,52.4387875571
9.4,55.8391737015
9.5,51.4536163231
9.6,69.9815369635
9.7,67.8599454308
9.8,106.0885115973
