"channel","pe_eegComplexity","pe_antropy","abs_diff"
"Fc5",0.93965746,0.93965746,0
"Fc3",0.92394855,0.92394855,1.11e-16
"Fc1",0.91622347,0.91622347,0
"Fcz",0.90927646,0.90927646,1.11e-16
"Fc2",0.91009826,0.91009826,2.22e-16
"Fc4",0.9162551,0.9162551,1.11e-16
"Fc6",0.93530029,0.93530029,1.11e-16
"C5",0.94619158,0.94619158,1.11e-16
"C3",0.91903949,0.91903949,0
"C1",0.91125792,0.91125792,1.11e-16
"Cz",0.90853741,0.90853741,1.11e-16
"C2",0.91146948,0.91146948,0
"C4",0.91420686,0.91420686,1.11e-16
"C6",0.94696236,0.94696236,1.11e-16
"Cp5",0.93017032,0.93017032,0
"Cp3",0.90550166,0.90550166,1.11e-16
"Cp1",0.90018518,0.90018518,2.22e-16
"Cpz",0.89952975,0.89952975,0
"Cp2",0.90560855,0.90560855,1.11e-16
"Cp4",0.90646753,0.90646753,1.11e-16
"Cp6",0.92362804,0.92362804,0
"Fp1",0.95619221,0.95619221,0
"Fpz",0.94750475,0.94750475,1.11e-16
"Fp2",0.94853541,0.94853541,1.11e-16
"Af7",0.95414396,0.95414396,2.22e-16
"Af3",0.94968186,0.94968186,0
"Afz",0.91726865,0.91726865,2.22e-16
"Af4",0.92289981,0.92289981,0
"Af8",0.94190309,0.94190309,1.11e-16
"F7",0.95353615,0.95353615,0
"F5",0.94330622,0.94330622,1.11e-16
"F3",0.90874097,0.90874097,0
"F1",0.91441914,0.91441914,0
"Fz",0.91363263,0.91363263,0
"F2",0.90646511,0.90646511,1.11e-16
"F4",0.91624825,0.91624825,1.11e-16
"F6",0.92073641,0.92073641,1.11e-16
"F8",0.94316077,0.94316077,0
"Ft7",0.95270131,0.95270131,1.11e-16
"Ft8",0.9464425,0.9464425,1.11e-16
"T7",0.96427828,0.96427828,1.11e-16
"T8",0.96996061,0.96996061,0
"T9",0.96895481,0.96895481,0
"T10",0.9794418,0.9794418,0
"Tp7",0.94454669,0.94454669,1.11e-16
"Tp8",0.95153465,0.95153465,0
"P7",0.90894445,0.90894445,1.11e-16
"P5",0.88510414,0.88510414,0
"P3",0.88297061,0.88297061,2.22e-16
"P1",0.87160402,0.87160402,1.11e-16
"Pz",0.87845774,0.87845774,1.11e-16
"P2",0.87365643,0.87365643,0
"P4",0.87640093,0.87640093,0
"P6",0.88353485,0.88353485,0
"P8",0.89625708,0.89625708,0
"Po7",0.84656097,0.84656097,0
"Po3",0.85068105,0.85068105,2.22e-16
"Poz",0.85707366,0.85707366,2.22e-16
"Po4",0.84209922,0.84209922,0
"Po8",0.84035071,0.84035071,1.11e-16
"O1",0.74392417,0.74392417,1.11e-16
"Oz",0.76885921,0.76885921,1.11e-16
"O2",0.768029,0.768029,0
"Iz",0.82066014,0.82066014,0
