"channel","permutation_entropy"
"Fc5.",0.9396574552
"Fc3.",0.9239485473
"Fc1.",0.9162234718
"Fcz.",0.9092764643
"Fc2.",0.910098263
"Fc4.",0.9162551045
"Fc6.",0.9353002855
"C5..",0.9461915769
"C3..",0.9190394859
"C1..",0.9112579188
"Cz..",0.9085374082
"C2..",0.911469482
"C4..",0.9142068573
"C6..",0.9469623556
"Cp5.",0.930170324
"Cp3.",0.9055016556
"Cp1.",0.9001851805
"Cpz.",0.8995297462
"Cp2.",0.9056085482
"Cp4.",0.9064675254
"Cp6.",0.923628044
"Fp1.",0.9561922147
"Fpz.",0.9475047543
"Fp2.",0.9485354059
"Af7.",0.9541439564
"Af3.",0.9496818587
"Afz.",0.9172686461
"Af4.",0.922899807
"Af8.",0.9419030887
"F7..",0.9535361521
"F5..",0.9433062159
"F3..",0.9087409684
"F1..",0.9144191358
"Fz..",0.9136326308
"F2..",0.9064651061
"F4..",0.9162482531
"F6..",0.9207364074
"F8..",0.943160772
"Ft7.",0.9527013058
"Ft8.",0.9464425015
"T7..",0.9642782839
"T8..",0.9699606063
"T9..",0.9689548055
"T10.",0.9794417974
"Tp7.",0.9445466906
"Tp8.",0.9515346511
"P7..",0.9089444506
"P5..",0.8851041411
"P3..",0.8829706051
"P1..",0.8716040195
"Pz..",0.8784577405
"P2..",0.8736564255
"P4..",0.8764009306
"P6..",0.8835348455
"P8..",0.8962570783
"Po7.",0.8465609651
"Po3.",0.8506810457
"Poz.",0.8570736559
"Po4.",0.8420992212
"Po8.",0.8403507106
"O1..",0.7439241694
"Oz..",0.768859206
"O2..",0.7680290006
"Iz..",0.8206601398
