"frequency_hz","mean_power_op","mean_power_mne_scaled","norm_power_op"
4,9762.72072055,9650.50720844,0.182073
6,3531.0047604,3493.68818117,0.065853
8,6895.29183611,6764.66192885,0.128596
10,53619.76213737,52171.06814143,1
12,29442.73993486,29462.11189163,0.549102
14,6729.37204025,6844.57496279,0.125502
16,7072.17176779,6904.89648678,0.131895
18,7156.93881503,7178.49345324,0.133476
20,4701.88489745,4867.93919538,0.087689
22,2731.54404753,2742.16747554,0.050943
24,1526.58081777,1522.40900134,0.02847
26,965.45948787,968.94270543,0.018006
28,712.36962526,716.97537352,0.013286
30,561.06885261,563.04615584,0.010464
