"time_sec","median_freq","fit"
0,64.5,59.6093
0.5,62.75,59.5836
1,62.5,59.5579
1.5,63.375,59.5322
2,65.375,59.5065
2.5,63.125,59.4808
3,63.375,59.4551
3.5,63.875,59.4294
4,65,59.4037
4.5,64.625,59.3781
5,62.875,59.3524
5.5,59.75,59.3267
6,60.5,59.301
6.5,58.875,59.2753
7,60.625,59.2496
7.5,59.5,59.2239
8,62.25,59.1982
8.5,64.125,59.1725
9,60.625,59.1469
9.5,58.75,59.1212
10,61,59.0955
10.5,62.25,59.0698
11,63.25,59.0441
11.5,61.25,59.0184
12,53.75,58.9927
12.5,55,58.967
13,57.5,58.9414
13.5,59.25,58.9157
14,55.75,58.89
14.5,55.75,58.8643
15,56,58.8386
15.5,55.5,58.8129
16,56.75,58.7872
16.5,51,58.7615
17,51,58.7358
17.5,58,58.7102
18,60.5,58.6845
18.5,59.25,58.6588
19,57.625,58.6331
19.5,58.875,58.6074
20,52.75,58.5817
20.5,51.125,58.556
21,59.375,58.5303
21.5,65.25,58.5046
22,62.625,58.479
22.5,59.125,58.4533
23,55.75,58.4276
23.5,58.125,58.4019
24,61.25,58.3762
24.5,58.375,58.3505
25,57.125,58.3248
25.5,55.75,58.2991
26,59.125,58.2734
26.5,58.25,58.2478
27,52,58.2221
27.5,54.875,58.1964
28,57.75,58.1707
28.5,55.75,58.145
29,54.5,58.1193
29.5,55.625,58.0936
30,54.375,58.0679
30.5,57.625,58.0422
31,59.25,58.0166
31.5,60,57.9909
32,59,57.9652
32.5,56,57.9395
33,58.5,57.9138
33.5,62.5,57.8881
34,61.25,57.8624
34.5,58.375,57.8367
35,56,57.811
35.5,57.375,57.7854
36,56.625,57.7597
36.5,58.5,57.734
37,59.25,57.7083
37.5,56.5,57.6826
38,57.25,57.6569
38.5,57.5,57.6312
39,55.5,57.6055
39.5,53.625,57.5798
40,56.25,57.5542
40.5,57.625,57.5285
41,58.375,57.5028
41.5,55.875,57.4771
42,56.625,57.4514
42.5,56.125,57.4257
43,58.25,57.4
43.5,57.375,57.3743
44,56.25,57.3487
44.5,61.25,57.323
45,62.125,57.2973
45.5,59.375,57.2716
46,61.5,57.2459
46.5,63.25,57.2202
47,61.75,57.1945
47.5,55.125,57.1688
48,54.5,57.1431
48.5,53.625,57.1175
49,52.875,57.0918
49.5,56.75,57.0661
50,58.25,57.0404
50.5,56.75,57.0147
51,55.5,56.989
51.5,55.25,56.9633
52,55.5,56.9376
52.5,53,56.9119
53,52.875,56.8863
53.5,54.375,56.8606
54,54,56.8349
54.5,53.875,56.8092
55,56.5,56.7835
55.5,58.25,56.7578
56,57.875,56.7321
56.5,55.75,56.7064
57,53.5,56.6807
57.5,53.625,56.6551
58,54.75,56.6294
58.5,54.5,56.6037
59,58.125,56.578
59.5,57.625,56.5523
60,55.875,56.5266
60.5,52.125,56.5009
61,49.125,56.4752
61.5,50.25,56.4495
62,53.625,56.4239
62.5,55,56.3982
63,55.75,56.3725
63.5,54.125,56.3468
64,52.75,56.3211
64.5,52.5,56.2954
65,54,56.2697
65.5,53.875,56.244
66,55.625,56.2183
66.5,55.25,56.1927
67,56.25,56.167
67.5,62.25,56.1413
68,62.25,56.1156
68.5,56,56.0899
69,54.25,56.0642
69.5,52.375,56.0385
70,54.125,56.0128
70.5,55.125,55.9871
71,52.625,55.9615
71.5,53.375,55.9358
72,59.625,55.9101
72.5,61.625,55.8844
73,56.25,55.8587
73.5,55.625,55.833
74,56.375,55.8073
74.5,59.125,55.7816
75,57.75,55.756
75.5,57.25,55.7303
76,51.125,55.7046
76.5,50.875,55.6789
77,54.25,55.6532
77.5,55.625,55.6275
78,56.25,55.6018
78.5,54.625,55.5761
79,54.625,55.5504
79.5,55.75,55.5248
80,55.625,55.4991
80.5,53.875,55.4734
81,56.125,55.4477
81.5,55.25,55.422
82,56.5,55.3963
82.5,55,55.3706
83,49.5,55.3449
83.5,49.375,55.3192
84,54,55.2936
84.5,54.875,55.2679
85,60.375,55.2422
85.5,59.125,55.2165
86,53.25,55.1908
86.5,54.625,55.1651
87,59,55.1394
87.5,55.625,55.1137
88,55.375,55.088
88.5,55.75,55.0624
89,54.25,55.0367
89.5,55.625,55.011
90,55,54.9853
90.5,55,54.9596
91,61.375,54.9339
91.5,63.25,54.9082
92,62,54.8825
92.5,59.375,54.8568
93,58.5,54.8312
93.5,58,54.8055
94,52.875,54.7798
94.5,53.125,54.7541
95,55.875,54.7284
95.5,54.875,54.7027
96,55.625,54.677
96.5,56.75,54.6513
97,57.25,54.6256
97.5,54.875,54.6
98,52.5,54.5743
98.5,56.875,54.5486
99,61.375,54.5229
99.5,57.5,54.4972
100,56.375,54.4715
100.5,54.875,54.4458
101,56.875,54.4201
101.5,58,54.3944
102,59.25,54.3688
102.5,56.125,54.3431
103,51,54.3174
103.5,52.75,54.2917
104,57.125,54.266
104.5,54.25,54.2403
105,52.25,54.2146
105.5,53.625,54.1889
106,52.625,54.1633
106.5,54.625,54.1376
107,54.625,54.1119
107.5,54.875,54.0862
108,52.375,54.0605
108.5,54.25,54.0348
109,54.75,54.0091
109.5,52.25,53.9834
110,51.25,53.9577
110.5,51.75,53.9321
111,53.75,53.9064
111.5,53,53.8807
112,54.125,53.855
112.5,56.75,53.8293
113,56.625,53.8036
113.5,54.25,53.7779
114,53.875,53.7522
114.5,57.125,53.7265
115,53.375,53.7009
115.5,50.625,53.6752
116,51,53.6495
116.5,51.75,53.6238
117,53,53.5981
117.5,49.375,53.5724
118,51,53.5467
118.5,54.5,53.521
119,55.75,53.4953
