"channel","mean_envelope","modulation","max_diff_vs_scipy"
1,0.056195,6.5413,3.05e-16
2,0.074917,6.0465,3.47e-16
3,0.088222,7.1156,4.16e-16
4,0.084347,9.1496,4.44e-16
5,0.091399,5.8087,5.55e-16
6,0.08812,6.1989,5.55e-16
7,0.063076,5.1725,2.5e-16
8,0.052218,6.609,2.5e-16
9,0.062673,5.8332,2.78e-16
10,0.084819,6.7955,5e-16
11,0.0843,7.1286,4.44e-16
12,0.093989,7.874,4.44e-16
13,0.094109,6.2013,4.44e-16
14,0.094699,5.7908,5e-16
15,0.067869,5.5573,2.78e-16
16,0.059997,5.8249,2.78e-16
17,0.006687,3.928,3.12e-17
18,0.060734,5.8635,3.89e-16
19,0.04855,6.2476,2.22e-16
20,0.048873,8.2004,3.33e-16
21,0.064655,7.3795,2.36e-16
22,0.065672,9.4246,3.33e-16
23,0.057385,6.9696,2.78e-16
24,0.006572,3.8461,2.78e-17
25,0.006588,3.8021,2.78e-17
26,0.041375,5.9393,2.5e-16
27,0.036937,6.1934,1.67e-16
28,0.02678,6.528,1.11e-16
29,0.033419,6.5476,1.25e-16
30,0.066285,9.4272,3.33e-16
31,0.051144,9.0194,2.78e-16
32,0.006593,3.9849,2.6e-17
