"item","value"
"script","validate_emg_synergy_pipeline.R"
"date","2026-08-12 17:41:10"
"data_source","GRABMyo (PhysioNet)"
"record_id","session1_participant1_gesture10_trial1"
"sampling_rate_hz","2048"
"n_samples","10240"
"n_channels_used","12"
"channels","F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12"
"envelope_methods","rms,hilbert,lowpass"
"onset_methods","hodges_bui,teager_kaiser"
"synergy_methods","nmf,pca,ica"
"n_synergies_target","4"
"optimal_n_synergies","2"
"nmf_vaf","0.9856"
"pca_vaf","-4.6400"
"ica_vaf","-4.6400"
"split_half_mean_correlation","0.8901"
"fatigue_channels_detected","0"
"r_version","4.5.2"
"physiocore_version","0.2.0"
"physioemg_version","0.2.2"
"platform","x86_64-pc-linux-gnu"
