"time_s","HbO","HbR"
-2.048,0.00442,-0.00069
-1.92,0.0057,0.00176
-1.792,-0.00272,0.00149
-1.664,-0.00716,-0.00038
-1.536,-0.00801,-4e-05
-1.408,-0.01,0.00072
-1.28,0.00418,0.00312
-1.152,0.00361,0.00012
-1.024,0.00322,0.00052
-0.896,0.00458,-0.00172
-0.768,-0.00359,-0.00095
-0.64,-0.00801,-0.00071
-0.512,0.00505,-0.00124
-0.384,6e-04,-0.00067
-0.256,0.00038,-0.00057
-0.128,0.00772,-0.00078
0,-0.00046,-0.00248
0.128,-0.00332,-0.00045
0.256,0.00242,-0.00311
0.384,-0.00154,0.00084
0.512,0.0094,-0.00225
0.64,0.00418,-0.00217
0.768,0.00221,-0.00441
0.896,-0.00213,-0.00362
1.024,0.00265,-0.00133
1.152,-0.00038,-0.00157
1.28,0.02371,-0.00366
1.408,0.00981,-0.00076
1.536,0.00556,-0.00143
1.664,0.00452,-0.0027
1.792,0.01667,-0.00249
1.92,0.03168,-0.00189
2.048,0.04639,-8e-04
2.176,0.04255,0.00188
2.304,0.03515,-0.00025
2.432,0.0307,-0.0014
2.56,0.05754,3e-05
2.688,0.06959,-0.00345
2.816,0.07539,0.00134
2.944,0.08682,-0.00109
3.072,0.07318,-0.00592
3.2,0.08521,-0.00718
3.328,0.10195,-0.0057
3.456,0.10596,-0.00531
3.584,0.12254,-0.00637
3.712,0.13619,-0.00444
3.84,0.13685,-0.00474
3.968,0.15026,-0.00649
4.096,0.15752,-0.01143
4.224,0.15448,-0.01013
4.352,0.17449,-0.00878
4.48,0.19216,-0.00998
4.608,0.19135,-0.01013
4.736,0.1927,-0.01396
4.864,0.18199,-0.01566
4.992,0.19365,-0.01851
5.12,0.21178,-0.01836
5.248,0.21206,-0.02336
5.376,0.2139,-0.02559
5.504,0.20276,-0.02563
5.632,0.20224,-0.0296
5.76,0.20099,-0.0304
5.888,0.19758,-0.03063
6.016,0.19344,-0.0332
6.144,0.18271,-0.03353
6.272,0.18356,-0.03568
6.4,0.18107,-0.04129
6.528,0.16275,-0.03936
6.656,0.14509,-0.0463
6.784,0.13437,-0.04572
6.912,0.13374,-0.04428
7.04,0.139,-0.04503
7.168,0.12906,-0.0485
7.296,0.10553,-0.05146
7.424,0.08222,-0.05025
7.552,0.07099,-0.05231
7.68,0.0647,-0.05398
7.808,0.07404,-0.05325
7.936,0.0535,-0.05379
8.064,0.02928,-0.05637
8.192,0.01627,-0.05651
8.32,0.01338,-0.0533
8.448,0.00305,-0.05673
8.576,0.00598,-0.0554
8.704,-0.02043,-0.05649
8.832,-0.04497,-0.05978
8.96,-0.06502,-0.05755
9.088,-0.05803,-0.05613
9.216,-0.06922,-0.05353
9.344,-0.07987,-0.05395
9.472,-0.09732,-0.05266
9.6,-0.12084,-0.0538
9.728,-0.13992,-0.05657
9.856,-0.12544,-0.05172
9.984,-0.12179,-0.05261
10.112,-0.1401,-0.04891
10.24,-0.15261,-0.05106
10.368,-0.16778,-0.04775
10.496,-0.18436,-0.04711
10.624,-0.16179,-0.04059
10.752,-0.1582,-0.03981
10.88,-0.17302,-0.04156
11.008,-0.19193,-0.03884
11.136,-0.20977,-0.03709
11.264,-0.20323,-0.03604
11.392,-0.18718,-0.03214
11.52,-0.18539,-0.03023
11.648,-0.20044,-0.0296
11.776,-0.21499,-0.02881
11.904,-0.22192,-0.02874
12.032,-0.20927,-0.0267
12.16,-0.1993,-0.02496
12.288,-0.19269,-0.02109
12.416,-0.2069,-0.02073
12.544,-0.20742,-0.02046
12.672,-0.21555,-0.02063
12.8,-0.20698,-0.0195
12.928,-0.19609,-0.0192
13.056,-0.18519,-0.01607
13.184,-0.1836,-0.01566
13.312,-0.18537,-0.01307
13.44,-0.1963,-0.01198
13.568,-0.18898,-0.01494
13.696,-0.17431,-0.00996
13.824,-0.16766,-0.0099
13.952,-0.15094,-0.00893
14.08,-0.15391,-0.00908
14.208,-0.15633,-0.00854
14.336,-0.15749,-0.00752
14.464,-0.15226,-0.00898
14.592,-0.14576,-0.00486
14.72,-0.12437,-0.00782
14.848,-0.12682,-0.00614
14.976,-0.12686,-0.00519
