"channel","hbo_est","hbo_t","hbo_p","hbr_est","hbr_t","hbr_p"
"S1_D1",0.00533,13.5379,0,-0.00248,-18.7096,0
"S1_D2",0.00196,6.4782,0,-5e-04,-5.1992,0
"S1_D3",0.00341,10.1136,0,-0.00211,-14.3116,0
"S1_D9",0.00212,5.3188,0,8e-04,4.3606,1e-05
"S2_D1",0.00057,1.6997,0.0892,-0.00099,-9.3715,0
"S2_D3",0.00253,6.7546,0,-0.00204,-17.2527,0
"S2_D4",0.00249,6.3866,0,0.00033,3.2369,0.00121
"S2_D10",-0.00078,-1.6597,0.09698,-0.00169,-9.2461,0
"S3_D2",0.00176,4.3245,2e-05,-0.00094,-6.569,0
"S3_D3",0.00187,3.8591,0.00011,-0.00165,-12.5633,0
"S3_D11",0.00053,1.1748,0.24009,-0.00077,-6.1871,0
"S4_D3",0.00547,14.2955,0,-0.00087,-6.6023,0
"S4_D4",0.00658,8.1852,0,-0.00085,-2.657,0.00789
"S4_D12",-0.00159,-3.7931,0.00015,-0.00159,-14.9314,0
"S5_D5",0.00243,7.2327,0,-0.00283,-22.161,0
"S5_D6",0.00034,1.1077,0.268,-0.00094,-9.0653,0
"S5_D7",0.00296,8.9116,0,-0.00306,-18.9826,0
"S5_D13",-0.00031,-0.7289,0.46604,0.00011,0.6568,0.51131
"S6_D5",-6e-05,-0.1653,0.86867,-0.00161,-11.9408,0
"S6_D7",0.00144,4.4041,1e-05,-0.00202,-17.295,0
"S6_D8",0.00399,8.052,0,-0.00021,-1.4746,0.14033
"S6_D14",-0.00608,-11.1975,0,-0.00277,-15.7336,0
"S7_D6",-0.00114,-2.0277,0.0426,-0.00243,-16.8323,0
"S7_D7",0.00136,2.2644,0.02356,-0.00211,-14.8047,0
"S7_D15",-0.00259,-5.5702,0,-0.00057,-5.3239,0
"S8_D7",0.00301,7.7889,0,-0.00113,-10.5491,0
"S8_D8",0.00688,9.2449,0,-0.0019,-7.9342,0
"S8_D16",0.00211,4.5935,0,-0.00047,-2.7577,0.00583
