"metric","value"
"max_abs_z",16.025387166
"p_adj_C_A",1.7246e-06
"p_adj_K_A",0.0674892556
"p_adj_H_K",1
"max_diff_z_pmcmr",1.77635683940025e-15
"max_diff_padj_scipy",6.93889390390723e-17
"n_sig_hc_vs_pathology",4
"n_sig_pathology_pathology",4
"n_pairs",10
"n_total",1844
"z_A-HC",-12.875464
"z_K-HC",-10.842923
"z_K-A",2.708986
"z_H-HC",-9.327853
"z_H-A",3.703356
"z_H-K",1.220522
"z_C-HC",-16.025387
"z_C-A",-5.226809
"z_C-K",-7.60033
"z_C-H",-8.198721
"padj_A-HC",0
"padj_K-HC",0
"padj_K-A",0.06748926
"padj_H-HC",0
"padj_H-A",0.00212766
"padj_H-K",1
"padj_C-HC",0
"padj_C-A",1.72e-06
"padj_C-K",0
"padj_C-H",0
