"metric","value"
"diff_A_HC",-0.1422369767
"neg_log10_p_A_HC",10.773178
"p_K_A",0.8292210735
"p_min_pathology_pathology",0.614931
"max_diff_p_baser",1.37001521238744e-13
"max_diff_p_scipy",1.61706203982703e-11
"n_sig_hc_vs_pathology",4
"n_sig_pathology_pathology",0
"n_pairs",10
"n_total",1844
"p_A-HC",0
"p_K-HC",0
"p_K-A",0.8292210735
"p_H-HC",0
"p_H-A",0.9996603079
"p_H-K",0.7649718651
"p_C-HC",0
"p_C-A",0.9869567094
"p_C-K",0.6149311018
"p_C-H",0.9981982071
"diff_A-HC",-0.1422369767
"diff_K-HC",-0.1499331789
"diff_K-A",-0.0076962023
"diff_H-HC",-0.1406699617
"diff_H-A",0.0015670149
"diff_H-K",0.0092632172
"diff_C-HC",-0.1379567932
"diff_C-A",0.0042801835
"diff_C-K",0.0119763857
"diff_C-H",0.0027131686
