"comparison","diff","lwr","upr","p_adj"
"A-HC",-0.1422369767,-0.1681067051,-0.1163672482,0
"K-HC",-0.1499331789,-0.175677761,-0.1241885969,0
"K-A",-0.0076962023,-0.0276070607,0.0122146562,0.8292210735
"H-HC",-0.1406699617,-0.167782722,-0.1135572015,0
"H-A",0.0015670149,-0.0200838638,0.0232178936,0.9996603079
"H-K",0.0092632172,-0.0122379736,0.0307644079,0.7649718651
"C-HC",-0.1379567932,-0.1662995495,-0.1096140368,0
"C-A",0.0042801835,-0.018892443,0.02745281,0.9869567094
"C-K",0.0119763857,-0.0110564446,0.0350092161,0.6149311018
"C-H",0.0027131686,-0.0218394186,0.0272657558,0.9981982071
