"subject","joint","r","id_peak","ref_peak","rmse"
"WBDS01","ankle",0.968,1.3579,1.6731,0.1994
"WBDS01","knee",0.8982,0.661,0.652,0.1158
"WBDS01","hip",0.7803,1.5821,1.005,0.2221
"WBDS02","ankle",0.9793,1.1924,1.4364,0.212
"WBDS02","knee",0.961,0.6102,0.8279,0.1363
"WBDS02","hip",0.9495,1.1615,0.9171,0.1229
"WBDS03","ankle",0.9946,1.3787,1.4976,0.0803
"WBDS03","knee",0.8765,0.6884,0.4215,0.1084
"WBDS03","hip",0.7095,1.2587,0.5661,0.2167
"WBDS04","ankle",0.9749,1.583,1.8814,0.2037
"WBDS04","knee",0.7538,0.8028,0.5381,0.1412
"WBDS04","hip",0.8189,1.5206,1.0865,0.2894
"WBDS05","ankle",0.9482,1.5713,1.8085,0.2112
"WBDS05","knee",0.7434,1.0694,0.5388,0.1645
"WBDS05","hip",0.6122,1.7762,1.0644,0.3744
