"pct_cycle","joint","id","reference"
0,"ankle",0.10888,0.01512
1,"ankle",0.05443,0.00764
2,"ankle",-0.02232,0.00483
3,"ankle",0.04388,0.00294
4,"ankle",0.06008,-0.00037
5,"ankle",0.04944,0.00064
6,"ankle",0.08325,0.00595
7,"ankle",0.10767,0.01414
8,"ankle",0.13652,0.03049
9,"ankle",0.16275,0.05743
10,"ankle",0.19853,0.09205
11,"ankle",0.21924,0.13061
12,"ankle",0.25954,0.17096
13,"ankle",0.2976,0.21262
14,"ankle",0.32947,0.25521
15,"ankle",0.34704,0.29719
16,"ankle",0.37948,0.33671
17,"ankle",0.41616,0.37324
18,"ankle",0.43735,0.40825
19,"ankle",0.46927,0.44423
20,"ankle",0.50764,0.48297
21,"ankle",0.54577,0.52501
22,"ankle",0.5529,0.56959
23,"ankle",0.60749,0.6156
24,"ankle",0.66972,0.66296
25,"ankle",0.69106,0.71201
26,"ankle",0.73313,0.76281
27,"ankle",0.77527,0.81538
28,"ankle",0.8219,0.86982
29,"ankle",0.8547,0.92584
30,"ankle",0.90514,0.98301
31,"ankle",0.94871,1.04079
32,"ankle",1.01952,1.09896
33,"ankle",1.05639,1.15745
34,"ankle",1.10264,1.21612
35,"ankle",1.13766,1.27415
36,"ankle",1.17264,1.33073
37,"ankle",1.19791,1.38529
38,"ankle",1.23506,1.43678
39,"ankle",1.27438,1.4842
40,"ankle",1.28421,1.52687
41,"ankle",1.30727,1.56474
42,"ankle",1.31717,1.59789
43,"ankle",1.34101,1.62596
44,"ankle",1.3579,1.64858
45,"ankle",1.34483,1.66479
46,"ankle",1.33901,1.67308
47,"ankle",1.32684,1.67198
48,"ankle",1.26074,1.66046
49,"ankle",1.22533,1.63717
50,"ankle",1.17785,1.59948
51,"ankle",1.0778,1.54278
52,"ankle",0.95357,1.45968
53,"ankle",0.77465,1.34171
54,"ankle",0.5741,1.18381
55,"ankle",0.36516,0.98914
56,"ankle",0.17104,0.77129
57,"ankle",0.04878,0.55243
58,"ankle",0.02197,0.35675
59,"ankle",0.01822,0.20124
60,"ankle",-0.05232,0.0863
61,"ankle",-0.15337,0.00824
62,"ankle",-0.15147,-0.02832
63,"ankle",-0.14248,-0.03175
64,"ankle",-0.16208,-0.03197
65,"ankle",-0.11289,-0.0297
66,"ankle",-0.10444,-0.02538
67,"ankle",-0.1104,-0.02057
68,"ankle",-0.10204,-0.01676
69,"ankle",-0.09731,-0.01438
70,"ankle",-0.11219,-0.0132
71,"ankle",-0.08957,-0.01265
72,"ankle",-0.08457,-0.0122
73,"ankle",-0.05233,-0.01163
74,"ankle",-0.05551,-0.01083
75,"ankle",-0.04531,-0.01004
76,"ankle",-0.01391,-0.00967
77,"ankle",-0.02509,-0.00986
78,"ankle",-0.02083,-0.01045
79,"ankle",-0.02216,-0.0112
80,"ankle",-0.04338,-0.012
81,"ankle",-0.0251,-0.01291
82,"ankle",-0.03103,-0.0139
83,"ankle",-0.01582,-0.01499
84,"ankle",-0.01447,-0.01637
85,"ankle",0.00682,-0.01833
86,"ankle",0.00248,-0.02078
87,"ankle",0.0021,-0.02301
88,"ankle",0.01112,-0.02433
89,"ankle",0.02697,-0.02438
90,"ankle",0.01298,-0.02338
91,"ankle",0.01484,-0.02167
92,"ankle",0.0362,-0.01905
93,"ankle",0.02417,-0.01478
94,"ankle",0.03459,-0.00848
95,"ankle",0.03068,-0.00086
96,"ankle",0.0258,0.00652
97,"ankle",0.0306,0.01184
98,"ankle",0.0046,0.01361
