"time","ankle_moment","knee_moment","hip_moment","ankle_fx","ankle_fy","knee_fx","knee_fy","hip_fx","hip_fy"
0,-70.9792423147,-3.6716697675,15.7434411611,55.551868125,-541.0677689694,89.5405433662,-507.0806398183,103.0596111445,-384.3681465536
0.0066666667,-73.6233597343,-15.0494613459,-3.9073429035,45.280525625,-533.2370830381,62.3910791262,-498.6113340191,63.2693095843,-389.9017638035
0.0133333333,-73.4425224409,-24.4902037679,-23.4576489123,31.109183125,-541.2763971069,31.3416148863,-506.0120282199,19.5790080241,-411.3053810535
0.02,-72.8448181123,-22.1010841153,-13.5432973641,32.6490140625,-539.2229542444,37.5456283237,-500.3663641478,45.3550145259,-401.7064963214
0.0266666667,-75.3012269764,-27.0553806468,-20.2492909147,25.542741875,-554.0308196069,24.9255150575,-521.2068287403,42.8381023234,-422.8712670399
0.0333333333,-80.5784140229,-31.2674018286,-18.789995415,26.4814178125,-550.3444836381,29.95934323,-509.3056391543,48.3359013041,-415.5191218506
0.04,-80.2698920175,-29.5510944615,-17.2140626645,20.140431875,-559.2331325256,28.8196981437,-533.8605385638,38.0446687497,-426.8252874936
0.0466666667,-86.9587232999,-38.4818721051,-24.9666515844,15.3851925,-569.0801925444,23.2707703801,-531.8286020615,10.2890565482,-442.2886012499
0.0533333333,-89.1300217301,-39.9851295825,-26.1393274248,11.02278875,-574.3074422162,17.7866307387,-540.460370692,44.1430132705,-435.596787067
0.06,-90.9558111492,-43.4786953633,-24.4667541082,5.65,-576.7613098881,15.4028056076,-540.8141668723,45.1277108936,-435.5898222721
0.0666666667,-97.5998959952,-47.5588651089,-30.4787745483,2.8642065625,-588.0981209225,14.3963977937,-556.0163647381,29.1369397398,-465.8369837467
0.0733333333,-93.6621577735,-42.1716606961,-13.8616266813,0.24682625,-599.8998126163,18.5265348312,-573.1023186743,59.9169918611,-481.4176364747
0.08,-96.5451784161,-48.6106898137,-54.4087484668,-7.42567125,-620.6312188975,-23.2372499249,-590.0427551559,-42.224545083,-469.9069569141
0.0866666667,-92.0507013757,-36.7869197577,-2.3008795434,-1.6597371875,-603.2799268131,24.6742372075,-560.1282853932,66.4552819076,-468.5264551237
0.0933333333,-94.6000223292,-39.6600394706,-17.9103814101,-5.4085821875,-623.6524407569,2.525192245,-585.7383031499,39.7659511808,-471.4402518958
0.1,-98.6171226658,-39.7263559037,-19.038127089,-5.9177653125,-639.4243061225,2.7615009563,-604.4471264994,18.6974778923,-508.2962518332
0.1066666667,-93.2918731802,-35.176549839,-16.2807566429,-13.208413125,-649.3988143819,-7.6867984088,-613.7422343885,12.9835745272,-501.0863083872
0.1133333333,-102.9008673536,-47.7820615317,-44.1699438931,-23.4314178125,-654.5620207162,-23.896281335,-616.3829497696,-114.4581752209,-534.5396565352
0.12,-107.6443741872,-50.6683394462,-21.3103903105,-29.817164375,-669.7554944725,-27.485073125,-629.7254038326,193.0265221689,-478.7239475886
0.1266666667,-105.8521162785,-46.5421063941,-37.1813246019,-33.796009375,-680.3791102412,-27.4729326325,-644.9896246588,-104.1488430505,-565.9796307105
0.1333333333,-110.7630425111,-50.1039716004,-32.5596950612,-37.509183125,-683.6318465819,-25.376089715,-646.6007941949,-75.2316467931,-567.6199167821
0.14,-112.6505018304,-52.9080234594,-26.4198528715,-44.718413125,-687.6454657319,-39.42923017,-652.0982763654,101.7220521741,-530.8259863638
0.1466666667,-111.5308470087,-48.2597247624,-23.5715123275,-46.9553615625,-689.754204685,-33.8684428313,-656.9462508326,12.4505204348,-581.7798762771
0.1533333333,-116.4768141853,-53.1262735747,-30.0950316102,-52.3121878125,-693.5006514694,-40.699928115,-657.0216206285,-4.410782775,-554.8206613139
0.16,-112.3951265143,-46.3617627453,-12.9400911712,-52.4413709375,-693.07797261,-35.483958095,-659.472381361,29.6755340531,-564.5001345791
0.1666666667,-120.4459726874,-52.0860745257,-20.8942244343,-60.074375625,-707.8078627194,-46.5225933713,-672.4468986129,72.9096473224,-558.5152896093
0.1733333333,-121.1610945129,-58.4937125418,-72.9706118735,-73.9994459375,-714.7230484569,-83.8245463737,-669.926761872,-276.1262431016,-591.2649827496
0.18,-121.1308440631,-46.0884942566,23.715916985,-70.702741875,-717.4409553194,-23.0518987275,-695.7452452532,182.1628630905,-587.1933304244
0.1866666667,-130.5043234526,-58.6656203171,-37.3773244066,-85.4194928125,-736.1460217881,-70.96208179,-700.0698363898,-38.455718854,-613.2800462146
0.1933333333,-116.6921587174,-42.630172552,-18.0375479002,-79.4212771875,-720.2872728506,-69.6202750275,-685.9088576559,-23.2279286235,-600.7320761979
0.2,-124.0568418629,-50.7680347379,-33.4625369551,-93.8151925,-729.9110364694,-82.9802965525,-678.8847624511,-42.3473428824,-551.7834840943
0.2066666667,-121.6619581395,-43.8292568509,-13.7439720907,-96.9889671875,-723.7240868037,-79.15779749,-715.9978520815,-31.984275746,-691.3597922755
0.2133333333,-118.3736876507,-37.6707197281,-13.2613100879,-95.385530625,-720.1666118163,-76.6728304351,-676.6964222789,-34.1603215532,-544.5563262593
0.22,-119.7102809395,-45.3965381057,-31.7776386655,-108.8106946875,-708.4105200631,-103.9545033412,-665.3047586518,-61.9059652671,-569.2533063015
0.2266666667,-110.8966558665,-23.2560233432,5.8181996414,-98.567840625,-696.9229284225,-68.8033600013,-663.1327832456,-14.6750105332,-576.75772616
0.2333333333,-112.0757010304,-32.7634576283,-2.8907442035,-115.688798125,-682.5695763913,-88.313156305,-644.2577394898,-0.0427100831,-536.4588303448
0.24,-105.6890127197,-24.8636541796,-24.7215593067,-110.7463475,-669.1941950037,-110.7782194138,-633.1560693346,-118.3437842218,-525.3228358186
0.2466666667,-103.9305034249,-20.1942536314,25.2910822615,-119.7959625,-656.9461004819,-82.6270921575,-630.5325154015,121.9272214186,-572.8623379837
0.2533333333,-108.8323212632,-31.5031365854,-38.8504021826,-133.9302159375,-643.8838839287,-115.5541142513,-604.1681280948,-283.7672041313,-513.6417158766
0.26,-100.1864665008,-24.7622615064,-0.3448297417,-142.0109390625,-619.4195747006,-117.8325943462,-587.7193719656,128.7678901058,-444.406101386
0.2666666667,-105.935334325,-29.9104225102,-21.6404299043,-138.771155,-600.5148280631,-111.7880818738,-561.875954232,-127.3311039419,-522.919897323
0.2733333333,-96.8378100166,-22.1832334054,-30.5397174291,-139.3440659375,-569.8859398725,-118.8278818475,-538.8355354961,-203.0930290533,-468.1235174171
0.28,-89.9500520113,-23.7910639465,-7.4991747525,-147.11154,-522.69586641,-111.8977394888,-474.8306954393,118.4258915151,-298.9689257992
0.2866666667,-80.7672573303,-20.3323733871,-37.6010129625,-135.7044509375,-472.0280588319,-115.1159720187,-420.267129428,-165.6556493186,-354.3292762754
0.2933333333,-71.1220138257,-9.1369073973,42.9760908045,-126.9556996875,-415.937182785,-41.0375712188,-388.996933764,94.7993516151,-310.8841078578
0.3,-52.0223660125,1.2906227967,38.9429382538,-110.7115215625,-348.5235189131,-35.7806523362,-326.4478567669,-10.6149703982,-286.7172526722
0.3066666667,-50.3010919045,-17.6213018019,-53.8826487102,-109.19154,-295.2967398412,-115.4174462738,-225.1816304089,19.9957481183,-33.1334342845
0.3133333333,-34.3352162195,3.8548690036,46.2175471436,-81.420244375,-229.368810235,-1.3844274025,-204.0066096265,39.0094392694,-132.1263793345
0.32,0.2737803611,5.567322016,35.9773302251,13.453408125,14.6230331525,64.9840737487,38.861476724,43.1206330208,39.5614834747
0.3266666667,-18.2546820563,-3.3738563646,4.417902784,-55.7373334375,-128.4552562537,-26.926678135,-81.5080741354,96.1179067071,59.6872643936
0.3333333333,-2.8489250624,0.9224818189,5.7032581776,-26.2248828125,-76.1132647131,-15.3822132275,-14.9646574551,41.2601005163,39.2849188527
0.34,-9.1800587571,-4.4334396597,13.5755911086,-19.1699346875,-53.6518877788,12.8698896325,-6.694677668,36.1536491606,112.2826138726
0.3466666667,1.4187419433,3.1849090808,40.3313183159,20.60431875,19.2093121025,62.4062770425,56.1165304441,227.8639484505,113.9434163695
0.3533333333,-0.5452893126,7.4756257538,36.9955902557,20.361915,14.3230585119,82.57589064,40.0815591601,7.0480712522,142.3282053961
0.36,1.4640386421,1.5591513147,10.7619974371,16.483455,13.7273512963,40.3018803,54.2842924441,20.0954781718,176.6606435929
0.3666666667,2.4863811721,4.7565476927,29.8360681688,15.3320371875,8.3296257931,44.14269249,34.4115874978,100.0772140322,189.248851381
0.3733333333,4.029490742,5.6599127001,17.2752915243,20.240713125,7.85754449,40.54856373,50.3230691169,-10.8693440282,211.2923226992
0.38,26.0491704143,21.7646777283,32.0246393686,19.6425628125,33.6503032712,41.2571618813,66.7072389591,17.2679773494,225.9264230601
0.3866666667,25.6391366506,18.5439463071,39.2047834686,32.2622246875,39.9669650681,51.2959761062,85.7617054271,61.7897648401,254.6887685261
0.3933333333,24.4977750048,16.7827501809,42.9362548752,28.5744125,39.7614438212,53.2658172913,79.5529148845,52.7545025235,244.6188413257
0.4,24.3307532036,7.6515431713,-13.3653294816,22.0233796875,40.7444045525,-0.4711951462,117.8968325409,-98.1867613883,362.2073159499
0.4066666667,20.9964751758,20.7070399404,44.8293603096,24.688403125,23.9167741869,56.865043465,46.4162550496,-16.0517565291,160.8291154066
0.4133333333,26.4233657987,27.739636046,57.8941028682,29.6697740625,23.975634865,51.9575701388,50.7182002844,159.5041096748,292.9292157872
0.42,22.6567988498,24.7468310617,27.5834207338,19.721389375,12.4492261994,38.7473671562,43.7524292672,-141.2543687637,178.7563614273
0.4266666667,24.1129089273,22.3706238313,38.4998051687,16.6360278125,19.567316415,21.180496295,39.8281451505,117.769276289,228.0968729481
0.4333333333,25.5092222282,17.9935452698,14.5635944631,8.6818965625,25.7699056712,4.065910615,45.1316354935,-91.450528685,170.2849466161
0.44,13.6128130949,17.8492634789,26.1744199133,16.5808353125,12.28237459,36.8972369187,28.0102398265,-59.0097900513,129.8097223603
0.4466666667,21.6051339965,10.1727500803,14.0455179811,8.4394928125,29.84520929,-4.9840244224,51.1507371691,33.2556920696,187.2726969445
0.4533333333,24.6052270168,20.7327934088,36.2454118046,11.7407415625,24.3524497431,23.3934241749,38.1180934019,25.4434176429,154.7880770519
0.46,14.3401565291,1.4655784424,-12.0072530213,-0.0477653125,24.3555638587,-30.8539133612,44.8090233315,-63.0193997852,150.9172796649
0.4666666667,22.2499630149,26.7177953445,51.4756569442,22.4652578125,18.6616091994,51.7493276388,24.835596212,53.0915289047,125.930600621
0.4733333333,7.6103562529,10.0520797238,35.8007233482,17.2304971875,19.8609080525,42.8283081112,32.5230061318,110.9870401253,164.5111280398
0.48,22.338489765,9.2501220042,-6.6447231727,-0.95278875,25.2190431494,-30.172337385,38.299751608,-117.147926301,88.8205176261
0.4866666667,19.9274962685,6.9817548571,1.9090901853,-0.205624375,26.2943361619,-24.969323995,43.6985085889,-43.419265207,140.5794271183
0.4933333333,11.1681153715,13.4127300369,42.6656047978,21.5301590625,31.1808285931,64.3185919538,47.3830411899,59.6078679337,150.5304062648
0.5,18.5651138526,6.7404312425,-1.6383811875,2.3310796875,33.02098874,-19.6994089875,41.0816375739,-50.9132818155,118.7830444677
0.5066666667,13.1736165967,4.7048087172,15.6910146132,2.102065625,25.6982101337,5.0754819688,44.2526477016,9.9803162248,146.9216020608
0.5133333333,0.7479361912,2.4289962963,2.4537603663,7.99932375,-0.1435972881,1.8130630275,23.5738570981,-31.1335987366,109.1859662683
0.52,0.6263496197,0.9483675765,2.9074654059,5.5146853125,2.384067815,1.2516225075,16.336745192,-15.3684746503,147.8410118288
0.5266666667,0.6817615885,-2.8737806365,-5.3906609367,3.757258125,3.9263616744,-10.2749349263,36.3576750162,-50.9575997544,114.521869119
0.5333333333,12.8355884105,-1.1996554037,-6.0408725966,-8.3338215625,27.9218259025,-26.9345813725,38.1216243036,-57.7815385106,149.1995761183
0.54,-0.9430988304,2.0759743102,29.7076898608,10.203501875,29.5568003119,56.1495863188,50.7726981506,35.9668561708,132.3399760982
0.5466666667,18.4459376836,1.5947282113,-7.2656587967,4.1646384375,38.0982058275,-33.9502835888,64.0864952002,-78.4157308207,131.2851180077
0.5533333333,18.029009778,16.9808037481,25.2423690732,14.70932375,29.2577799494,22.050747005,36.8586958615,-56.163842113,135.5514677401
0.56,10.6350757812,1.1107835513,11.0478567772,5.96769,37.7092509369,3.05102121,67.4281089459,-29.6754911401,126.6712894347
0.5666666667,21.4802359688,8.5910006098,16.4127992921,2.2621878125,38.0855510994,-20.80219465,49.9932953956,98.7010619841,122.1398354626
0.5733333333,11.3905103188,17.4529063683,29.2677751681,19.9744878125,38.0463341619,55.8148435063,53.2897463094,-107.8863669859,91.275725478
0.58,16.6343648394,-2.7028984463,-15.100705458,-5.366103125,33.0430048744,-49.9486915513,55.842625881,-91.9001745073,141.3972121398
0.5866666667,13.3682478068,12.4934347883,26.0282882685,8.3707884375,35.3082869775,23.4703019176,58.2867016466,-24.1671906344,140.4441220556
