"pct_cycle","promp_mean","promp_sd","ensemble_mean","ensemble_sd","cond_mean","cond_sd"
0,3.306,4.785,2.909,5.063,12.089,4.335
1,3.853,4.831,3.841,4.865,12.502,4.4
2,4.552,4.917,4.88,4.76,13.027,4.513
3,5.421,5.045,5.804,4.805,13.675,4.673
4,6.465,5.202,6.618,5.016,14.448,4.866
5,7.676,5.368,7.538,5.328,15.339,5.069
6,9.021,5.522,8.747,5.639,16.323,5.259
7,10.436,5.653,10.217,5.866,17.355,5.423
8,11.822,5.756,11.753,5.967,18.368,5.554
9,13.061,5.829,13.124,5.949,19.28,5.65
10,14.046,5.869,14.165,5.865,20.02,5.705
11,14.709,5.877,14.812,5.778,20.544,5.721
12,15.037,5.861,15.087,5.729,20.849,5.706
13,15.072,5.839,15.069,5.73,20.972,5.678
14,14.889,5.828,14.857,5.774,20.972,5.656
15,14.574,5.842,14.537,5.854,20.914,5.656
16,14.201,5.886,14.174,5.953,20.849,5.683
17,13.815,5.957,13.804,6.052,20.802,5.735
18,13.439,6.044,13.439,6.132,20.77,5.803
19,13.071,6.129,13.076,6.177,20.728,5.869
20,12.701,6.188,12.706,6.184,20.643,5.911
21,12.313,6.202,12.317,6.155,20.485,5.909
22,11.895,6.159,11.9,6.094,20.24,5.851
23,11.44,6.066,11.448,6.008,19.917,5.743
24,10.948,5.942,10.956,5.906,19.541,5.602
25,10.424,5.809,10.427,5.803,19.149,5.449
26,9.877,5.687,9.871,5.707,18.777,5.304
27,9.314,5.588,9.301,5.625,18.447,5.175
28,8.744,5.514,8.731,5.556,18.169,5.068
29,8.179,5.463,8.175,5.494,17.938,4.978
30,7.634,5.423,7.642,5.433,17.743,4.897
31,7.123,5.384,7.138,5.371,17.568,4.815
32,6.653,5.335,6.665,5.307,17.404,4.724
33,6.227,5.271,6.231,5.241,17.245,4.618
34,5.843,5.197,5.836,5.177,17.095,4.503
35,5.494,5.122,5.481,5.114,16.962,4.387
36,5.177,5.053,5.161,5.059,16.858,4.276
37,4.888,4.996,4.876,5.011,16.795,4.175
38,4.625,4.952,4.624,4.969,16.782,4.083
39,4.392,4.918,4.404,4.932,16.826,3.996
40,4.197,4.891,4.218,4.898,16.933,3.912
41,4.051,4.867,4.071,4.865,17.108,3.824
42,3.965,4.84,3.976,4.832,17.357,3.727
43,3.952,4.809,3.947,4.799,17.689,3.618
44,4.021,4.774,4.002,4.766,18.109,3.499
45,4.184,4.739,4.159,4.734,18.628,3.372
46,4.452,4.706,4.432,4.704,19.255,3.24
47,4.837,4.678,4.831,4.679,20.005,3.107
48,5.352,4.657,5.36,4.662,20.897,2.973
49,6.003,4.646,6.022,4.654,21.952,2.839
50,6.798,4.648,6.82,4.657,23.197,2.704
51,7.74,4.669,7.759,4.675,24.656,2.566
52,8.841,4.711,8.85,4.712,26.362,2.422
53,10.119,4.779,10.115,4.773,28.352,2.272
54,11.602,4.877,11.583,4.866,30.66,2.117
55,13.322,5.01,13.294,4.995,33.311,1.963
56,15.31,5.173,15.287,5.163,36.32,1.815
57,17.598,5.362,17.593,5.362,39.69,1.674
58,20.209,5.564,20.225,5.576,43.407,1.531
59,23.148,5.765,23.173,5.783,47.422,1.379
60,26.383,5.948,26.399,5.962,51.635,1.213
61,29.848,6.093,29.848,6.093,55.892,1.03
62,33.46,6.178,33.45,6.165,60.014,0.825
63,37.134,6.185,37.13,6.17,63.838,0.59
64,40.798,6.108,40.805,6.101,67.252,0.315
65,44.379,5.953,44.389,5.96,70.195,0.001
66,47.793,5.739,47.792,5.755,72.638,0.345
67,50.948,5.491,50.929,5.504,74.567,0.704
68,53.76,5.233,53.731,5.234,75.98,1.064
69,56.176,4.984,56.154,4.975,76.895,1.421
70,58.174,4.766,58.173,4.754,77.346,1.781
71,59.759,4.597,59.781,4.591,77.385,2.149
72,60.941,4.495,60.978,4.497,77.069,2.524
73,61.732,4.464,61.776,4.47,76.449,2.901
74,62.144,4.502,62.178,4.508,75.563,3.271
75,62.187,4.599,62.195,4.601,74.434,3.63
76,61.869,4.743,61.841,4.74,73.078,3.977
77,61.196,4.923,61.136,4.917,71.505,4.311
78,60.166,5.127,60.087,5.121,69.717,4.63
79,58.781,5.345,58.712,5.343,67.708,4.933
80,57.047,5.572,57.022,5.575,65.473,5.222
81,54.986,5.804,55.03,5.811,63.011,5.501
82,52.637,6.04,52.746,6.047,60.332,5.773
83,50.041,6.277,50.177,6.281,57.45,6.04
84,47.225,6.51,47.335,6.511,54.373,6.298
85,44.194,6.735,44.231,6.733,51.098,6.545
86,40.94,6.944,40.878,6.94,47.626,6.771
87,37.449,7.125,37.296,7.12,43.971,6.965
88,33.716,7.262,33.511,7.259,40.161,7.108
89,29.75,7.339,29.561,7.341,36.235,7.185
90,25.593,7.347,25.504,7.353,32.252,7.185
91,21.34,7.287,21.423,7.287,28.299,7.108
92,17.158,7.16,17.422,7.144,24.509,6.957
93,13.266,6.969,13.627,6.932,21.052,6.733
94,9.881,6.71,10.178,6.671,18.093,6.438
95,7.154,6.391,7.214,6.383,15.741,6.077
96,5.129,6.04,4.868,6.09,14.019,5.681
97,3.75,5.704,3.247,5.81,12.865,5.303
98,2.892,5.439,2.408,5.546,12.165,5.001
99,2.408,5.276,2.323,5.295,11.785,4.812
100,2.165,5.213,2.864,5.06,11.608,4.736
