"pct_cycle","beta_speed","mean_knee"
0,-0.2992,3.683
1,-0.2294,4.458
2,-0.0596,5.283
3,0.1642,6.07
4,0.3668,6.918
5,0.5299,7.971
6,0.6957,9.282
7,0.9089,10.775
8,1.1787,12.28
9,1.481,13.617
10,1.7772,14.653
11,2.0319,15.331
12,2.2238,15.662
13,2.3461,15.706
14,2.4044,15.543
15,2.4108,15.252
16,2.3791,14.89
17,2.3207,14.496
18,2.2457,14.085
19,2.1584,13.658
20,2.0614,13.212
21,1.9526,12.735
22,1.8333,12.223
23,1.7019,11.672
24,1.5596,11.084
25,1.4082,10.467
26,1.2488,9.826
27,1.0853,9.176
28,0.9213,8.527
29,0.7613,7.892
30,0.6089,7.28
31,0.4675,6.7
32,0.3389,6.155
33,0.2244,5.654
34,0.1253,5.198
35,0.0424,4.79
36,-0.0242,4.43
37,-0.0748,4.12
38,-0.1103,3.859
39,-0.1319,3.648
40,-0.141,3.488
41,-0.1386,3.382
42,-0.1253,3.337
43,-0.1011,3.364
44,-0.0651,3.475
45,-0.0162,3.684
46,0.0471,4.002
47,0.1263,4.438
48,0.2225,4.996
49,0.3363,5.68
50,0.4688,6.494
51,0.6203,7.446
52,0.7913,8.547
53,0.9818,9.82
54,1.1914,11.292
55,1.4196,12.995
56,1.6646,14.963
57,1.9231,17.223
58,2.1885,19.787
59,2.452,22.646
60,2.7021,25.768
61,2.9266,29.104
62,3.113,32.59
63,3.2502,36.149
64,3.3283,39.699
65,3.3408,43.156
66,3.2866,46.439
67,3.1707,49.478
68,3.0074,52.209
69,2.8119,54.589
70,2.6003,56.588
71,2.3869,58.189
72,2.1817,59.384
73,1.9911,60.172
74,1.8178,60.559
75,1.6659,60.551
76,1.5346,60.164
77,1.423,59.416
78,1.3295,58.324
79,1.2517,56.907
80,1.1859,55.181
81,1.1295,53.16
82,1.0779,50.857
83,1.0276,48.285
84,0.9746,45.457
85,0.9146,42.384
86,0.846,39.089
87,0.7671,35.592
88,0.6779,31.925
89,0.5805,28.133
90,0.4776,24.278
91,0.3734,20.441
92,0.2708,16.72
93,0.1721,13.23
94,0.0783,10.093
95,-0.0102,7.43
96,-0.0938,5.352
97,-0.172,3.944
98,-0.2419,3.242
99,-0.2936,3.205
100,-0.3034,3.69
