"subject","gc_resp_to_pleth","gc_pleth_to_resp","net_gc"
"bidmc01",0.103137,0.101684,0.001453
"bidmc02",0.101072,0.101387,-0.000315
"bidmc03",0.039066,0.081022,-0.041956
"bidmc04",0.109722,0.086192,0.02353
"bidmc05",0.022905,0.009216,0.013689
"bidmc06",0.064604,0.068801,-0.004197
"bidmc07",0.081253,0.077119,0.004135
"bidmc08",0.193707,0.186243,0.007464
"bidmc09",0.156807,0.090763,0.066044
"bidmc10",0.078253,0.050248,0.028004
"bidmc11",0.06399,0.090607,-0.026618
"bidmc12",0.088252,0.058368,0.029884
"bidmc13",0.459343,0.157519,0.301824
"bidmc14",0.078466,0.075822,0.002644
"bidmc15",0.119281,0.126783,-0.007502
"bidmc16",0.034105,0.018735,0.015369
"bidmc17",0.013681,0.005843,0.007838
"bidmc18",0.082117,0.058287,0.023829
"bidmc19",0.238451,0.085355,0.153096
"bidmc20",0.077156,0.042961,0.034195
