"metric","value"
"gc_resp_to_pleth",0.1031367696
"gc_pleth_to_resp",0.101683848
"net_gc",0.0014529216
"gc_resp_to_pleth_statsmodels",0.1031367696
"gc_pleth_to_resp_statsmodels",0.1016842001
"gc_resp_to_pleth_numpy",0.1031367714
"gc_pleth_to_resp_numpy",0.101683848
"max_diff_statsmodels",3.52e-07
"max_diff_numpy",1.785e-09
"F_resp_to_pleth",53.9956
"F_pleth_to_resp",53.1958
"p_resp_to_pleth",7.357e-104
"p_pleth_to_resp",2.577e-102
"order",10
"n_samples",5001
"sr_hz",25
"n_subjects_resp_dominant",15
"n_subjects_total",20
"mean_net_gc",0.03162
"median_net_gc",0.01076
