"frequency_hz","psd_op","psd_scipy"
0.003,317498.03139203,317498.03139202
0.003777,188472.29427214,188472.29427214
0.004554,193618.79429098,193618.79429098
0.005331,58717.89742319,58717.89742319
0.006108,71229.25446765,71229.25446765
0.006885,30917.29551307,30917.29551307
0.007661,81978.2969531,81978.2969531
0.008438,48156.15700442,48156.15700442
0.009215,310609.52956975,310609.52956975
0.009992,70161.34937911,70161.34937912
0.010769,57508.19379715,57508.19379715
0.011546,30919.24593149,30919.24593149
0.012323,13715.15740239,13715.15740239
0.0131,4935.15277832,4935.15277832
0.013877,36485.16035345,36485.16035345
0.014654,8677.1973246,8677.1973246
0.015431,976.0911238,976.0911238
0.016207,44374.64294975,44374.64294975
0.016984,13658.95002854,13658.95002854
0.017761,43195.4624205,43195.4624205
0.018538,45228.93660634,45228.93660634
0.019315,1603.94904126,1603.94904126
0.020092,9706.84597593,9706.84597593
0.020869,12157.65756608,12157.65756608
0.021646,33780.78253331,33780.78253331
0.022423,30563.30070053,30563.30070053
0.0232,677.73764037,677.73764037
0.023977,2613.96073738,2613.96073738
0.024753,34939.51745675,34939.51745675
0.02553,573.84507428,573.84507428
0.026307,38894.76053233,38894.76053233
0.027084,3704.50181213,3704.50181213
0.027861,8448.08887462,8448.08887462
0.028638,1753.33817708,1753.33817708
0.029415,20545.48942706,20545.48942706
0.030192,4082.69398307,4082.69398307
0.030969,7493.31416115,7493.31416115
0.031746,24127.12003342,24127.12003342
0.032523,11271.17196741,11271.17196741
0.033299,7367.66486998,7367.66486998
0.034076,1185.1145716,1185.1145716
0.034853,14095.08729831,14095.08729831
0.03563,10077.27963565,10077.27963565
0.036407,62735.40231989,62735.40231989
0.037184,6787.48929904,6787.48929904
0.037961,2363.36286667,2363.36286667
0.038738,13681.66425598,13681.66425597
0.039515,14880.11996993,14880.11996994
0.040292,9389.1854507,9389.1854507
0.041068,19558.11754391,19558.11754391
0.041845,2894.69209701,2894.69209701
0.042622,10254.44851285,10254.44851285
0.043399,6077.67796707,6077.67796707
0.044176,668.99662723,668.99662723
0.044953,5674.21346589,5674.21346589
0.04573,2677.3035125,2677.3035125
0.046507,6154.12792737,6154.12792737
0.047284,2499.46845649,2499.46845649
0.048061,5842.2445603,5842.2445603
0.048838,5346.3035818,5346.3035818
0.049614,11133.98674734,11133.98674734
0.050391,3268.16799235,3268.16799235
0.051168,11840.71946046,11840.71946046
0.051945,2739.36625,2739.36625
0.052722,2808.88009478,2808.88009478
0.053499,7381.69870234,7381.69870233
0.054276,67.11873618,67.11873618
0.055053,636.85706671,636.85706671
0.05583,18678.37409919,18678.37409919
0.056607,1405.18681806,1405.18681806
0.057384,525.35022776,525.35022776
0.05816,2330.02073262,2330.02073262
0.058937,294.28335293,294.28335293
0.059714,33931.86671976,33931.86671976
0.060491,1207.47812734,1207.47812734
0.061268,19564.73890852,19564.73890852
0.062045,2378.70247622,2378.70247622
0.062822,12543.29507265,12543.29507265
0.063599,77.14239184,77.14239184
0.064376,11069.28586577,11069.28586577
0.065153,4848.5913091,4848.5913091
0.06593,8683.09304549,8683.09304548
0.066706,1415.642385,1415.642385
0.067483,7357.3355355,7357.3355355
0.06826,21924.45312305,21924.45312305
0.069037,24102.19640376,24102.19640376
0.069814,17695.31088909,17695.31088909
0.070591,4765.80710253,4765.80710254
0.071368,8118.29214103,8118.29214103
0.072145,2061.08024783,2061.08024783
0.072922,4007.8928977,4007.8928977
0.073699,2549.67317419,2549.67317419
0.074476,27226.35347691,27226.35347692
0.075252,5022.15163985,5022.15163985
0.076029,8841.11283901,8841.11283901
0.076806,88.73755182,88.73755182
0.077583,8009.14513022,8009.14513022
0.07836,911.3104225,911.3104225
0.079137,3521.82010398,3521.82010398
0.079914,4781.1077112,4781.1077112
0.080691,1059.50984901,1059.50984901
0.081468,18636.68287846,18636.68287847
0.082245,4347.261149,4347.261149
0.083022,2535.08064408,2535.08064408
0.083798,4794.47147872,4794.47147872
0.084575,22202.4310689,22202.43106889
0.085352,13523.80546947,13523.80546948
0.086129,651.66520951,651.66520952
0.086906,3105.93695821,3105.93695822
0.087683,12349.46022873,12349.46022873
0.08846,14070.148231,14070.148231
0.089237,416.60138971,416.6013897
0.090014,24933.2904871,24933.2904871
0.090791,6124.51123727,6124.51123727
0.091568,8938.4519409,8938.4519409
0.092344,5052.40365357,5052.40365356
0.093121,9608.08383863,9608.08383863
0.093898,29748.81483468,29748.81483469
0.094675,4618.4071274,4618.4071274
0.095452,6541.12722448,6541.12722448
0.096229,9802.05138629,9802.05138629
0.097006,7720.15047284,7720.15047284
0.097783,2877.81766033,2877.81766032
0.09856,530.9474936,530.9474936
0.099337,4449.31506088,4449.31506089
0.100114,26897.27684726,26897.27684726
0.10089,10398.2293005,10398.2293005
0.101667,9034.67975382,9034.67975382
0.102444,5459.02070471,5459.02070471
0.103221,3146.22310921,3146.22310921
0.103998,37902.14592854,37902.14592855
0.104775,471.17479853,471.17479853
0.105552,3088.68433244,3088.68433244
0.106329,3802.85684298,3802.85684299
0.107106,58513.39458263,58513.39458263
0.107883,11051.95943014,11051.95943014
0.108659,336.78296464,336.78296464
0.109436,8785.49635522,8785.49635522
0.110213,862.76506906,862.76506906
0.11099,2438.77500102,2438.77500102
0.111767,3988.25381083,3988.25381083
0.112544,9587.70457926,9587.70457926
0.113321,1403.58565759,1403.58565759
0.114098,6984.82386133,6984.82386133
0.114875,274.76247368,274.76247368
0.115652,5558.75685228,5558.75685228
0.116429,25991.06983355,25991.06983354
0.117205,1024.90827469,1024.90827469
0.117982,1793.87689294,1793.87689294
0.118759,10259.31992038,10259.31992038
0.119536,5403.38904516,5403.38904516
0.120313,3652.7123079,3652.7123079
0.12109,7067.67394744,7067.67394744
0.121867,842.46894738,842.46894738
0.122644,15115.70869686,15115.70869687
0.123421,821.30230264,821.30230264
0.124198,55.74316217,55.74316217
0.124975,2279.98294949,2279.98294949
0.125751,5137.96300179,5137.96300179
0.126528,3423.16125853,3423.16125853
0.127305,2894.70507924,2894.70507924
0.128082,8329.6977741,8329.6977741
0.128859,29445.10494351,29445.10494351
0.129636,22722.60003645,22722.60003646
0.130413,9852.09871472,9852.09871473
0.13119,839.36454218,839.36454218
0.131967,5501.92517492,5501.92517492
0.132744,72.12577384,72.12577384
0.133521,460.8275168,460.8275168
0.134297,1715.50551084,1715.50551084
0.135074,8134.42234344,8134.42234344
0.135851,7615.19791477,7615.19791478
0.136628,2758.68900411,2758.68900411
0.137405,2529.71958931,2529.7195893
0.138182,1896.06673566,1896.06673566
0.138959,446.22377351,446.22377351
0.139736,39387.57551909,39387.5755191
0.140513,700.14746653,700.14746653
0.14129,4581.96006546,4581.96006546
0.142067,10288.16209691,10288.16209691
0.142843,2778.22870773,2778.22870773
0.14362,3079.398793,3079.398793
0.144397,816.74611509,816.74611509
0.145174,18108.98519307,18108.98519306
0.145951,24222.70620198,24222.70620199
