"metric","value"
"mse_scale1",1.3272319919
"mse_scale2",1.5480425944
"mse_scale3",1.5951135851
"mse_scale4",1.7850435273
"mse_scale5",1.8792187746
"mse_scale6",1.7617271821
"mse_scale7",1.4843480269
"mse_scale8",1.3826645931
"nk_scale1",1.3272319919
"nk_scale2",1.5480425944
"nk_scale3",1.5951135851
"nk_scale4",1.7850435273
"nk_scale5",1.8792187746
"nk_scale6",1.7617271821
"nk_scale7",1.4843480269
"nk_scale8",1.3826645931
"mse_auc",1.5954237844
"peak_scale",5
"coarse_exceeds_fine",1
"max_diff_neurokit",4.44089209850063e-16
"n_samples",1600
