"record","n_pulses","n_beats","ppg_pr","ecg_hr","diff","ecg_valid"
"bidmc01",718,730,89.8,91.29,-1.5,TRUE
"bidmc02",726,727,90.89,91,-0.11,TRUE
"bidmc03",608,225,76.13,30.45,45.68,FALSE
"bidmc04",708,737,89.05,92.29,-3.24,TRUE
"bidmc05",759,785,94.91,98.15,-3.24,TRUE
"bidmc06",654,654,81.71,81.84,-0.12,TRUE
"bidmc07",721,721,90.18,90.18,0,TRUE
"bidmc08",798,798,99.8,99.8,0,TRUE
"bidmc09",614,614,76.78,76.79,0,TRUE
"bidmc10",643,659,80.47,82.47,-1.99,TRUE
"bidmc11",739,742,92.49,92.86,-0.37,TRUE
"bidmc12",734,743,91.82,92.95,-1.12,TRUE
"bidmc13",534,533,66.85,66.73,0.12,TRUE
"bidmc14",706,760,88.38,95.14,-6.76,TRUE
"bidmc15",858,858,107.29,107.28,0,TRUE
"bidmc16",875,880,109.41,110.17,-0.76,TRUE
"bidmc17",643,646,80.48,80.91,-0.43,TRUE
"bidmc18",721,719,90.13,89.88,0.25,TRUE
"bidmc19",577,587,72.19,73.45,-1.26,TRUE
"bidmc20",698,703,87.33,87.95,-0.63,TRUE
"bidmc21",974,992,121.9,124.08,-2.18,TRUE
"bidmc22",653,652,81.59,81.59,0,TRUE
"bidmc23",508,515,63.58,64.33,-0.76,TRUE
"bidmc24",748,770,93.59,96.34,-2.75,TRUE
"bidmc25",952,998,119.19,124.86,-5.66,TRUE
"bidmc26",573,721,71.63,90.17,-18.54,TRUE
"bidmc27",701,705,87.72,88.23,-0.51,TRUE
"bidmc28",632,661,79.03,82.7,-3.67,TRUE
"bidmc29",697,724,87.11,90.49,-3.39,TRUE
"bidmc30",696,701,87.1,87.73,-0.63,TRUE
"bidmc31",665,675,83.19,84.54,-1.35,TRUE
"bidmc32",631,649,78.99,81.12,-2.13,TRUE
"bidmc33",657,658,82.18,82.31,-0.13,TRUE
"bidmc34",650,655,81.31,81.93,-0.62,TRUE
"bidmc35",771,807,96.5,101,-4.5,TRUE
"bidmc36",583,583,72.91,72.91,0,TRUE
"bidmc37",716,721,89.57,90.19,-0.62,TRUE
"bidmc38",643,673,80.48,84.25,-3.77,TRUE
"bidmc39",583,603,72.85,75.38,-2.53,TRUE
"bidmc40",752,887,94.12,110.95,-16.83,TRUE
"bidmc41",626,699,78.39,87.54,-9.15,TRUE
"bidmc42",669,669,83.69,83.68,0,TRUE
"bidmc43",711,713,89.02,89.28,-0.26,TRUE
"bidmc44",691,718,86.45,89.84,-3.39,TRUE
"bidmc45",484,484,60.53,60.66,-0.13,TRUE
"bidmc46",849,849,106.18,106.18,0,TRUE
"bidmc47",663,671,82.94,83.94,-1,TRUE
"bidmc48",795,806,99.48,100.85,-1.37,TRUE
"bidmc49",670,675,83.83,84.44,-0.62,TRUE
"bidmc50",605,609,75.67,76.31,-0.64,TRUE
"bidmc51",719,720,90.04,90.03,0,TRUE
"bidmc52",918,917,114.96,114.73,0.23,TRUE
"bidmc53",711,734,88.88,91.86,-2.98,TRUE
