epoch,start_sec,expert_stage,pred_stage,rel_delta,rel_theta,rel_alpha,rel_sigma,rel_beta
1,0.0,W,N3,0.827779,0.136389,0.016579,0.006151,0.013102
2,30.0,W,N3,0.761773,0.097893,0.041142,0.02668,0.072512
3,60.0,W,N3,0.84448,0.047148,0.071767,0.010854,0.025751
4,90.0,W,N3,0.662628,0.101253,0.194787,0.012022,0.02931
5,120.0,W,N3,0.620168,0.197958,0.147341,0.01212,0.022413
6,150.0,W,N3,0.737662,0.211277,0.024815,0.008099,0.018147
7,180.0,W,N3,0.834069,0.08082,0.028603,0.013296,0.043212
8,210.0,W,N3,0.888379,0.078993,0.013316,0.005989,0.013323
9,240.0,W,N3,0.767856,0.163149,0.031495,0.010822,0.026677
10,270.0,W,N3,0.852301,0.077125,0.022953,0.012204,0.035418
11,300.0,W,N3,0.883853,0.059528,0.023226,0.01005,0.023344
12,330.0,W,N3,0.87466,0.072772,0.018249,0.009716,0.024603
13,360.0,W,N3,0.85278,0.098154,0.020067,0.008565,0.020434
14,390.0,W,N3,0.834776,0.1018,0.022933,0.0133,0.027192
15,420.0,W,N3,0.828263,0.093232,0.026925,0.015793,0.035787
16,450.0,W,N3,0.846414,0.084065,0.027928,0.012295,0.029298
17,480.0,W,N3,0.776435,0.123735,0.04166,0.019673,0.038496
18,510.0,W,N3,0.822815,0.097799,0.030946,0.013515,0.034924
19,540.0,W,N3,0.824984,0.10764,0.030026,0.013045,0.024305
20,570.0,W,N3,0.75938,0.113962,0.03955,0.020785,0.066323
21,600.0,W,N3,0.84853,0.075282,0.030559,0.013597,0.032032
22,630.0,W,N3,0.751837,0.134234,0.050185,0.023003,0.040741
23,660.0,W,N3,0.733489,0.101131,0.063496,0.029288,0.072596
24,690.0,W,N3,0.681484,0.131109,0.067799,0.035892,0.083715
25,720.0,W,N3,0.809858,0.111589,0.030568,0.015389,0.032596
26,750.0,W,N3,0.872563,0.066581,0.02486,0.010982,0.025014
27,780.0,W,N1,0.80843,0.096211,0.036437,0.018728,0.040194
28,810.0,W,N3,0.72058,0.127838,0.057631,0.027695,0.066256
29,840.0,W,N3,0.81054,0.10077,0.036979,0.016257,0.035453
30,870.0,W,N3,0.851543,0.085607,0.025567,0.012923,0.02436
31,900.0,W,N3,0.818976,0.093636,0.033993,0.017998,0.035397
32,930.0,W,N3,0.624729,0.194106,0.070085,0.032765,0.078315
33,960.0,W,N3,0.789055,0.101436,0.044445,0.021127,0.043938
34,990.0,W,N1,0.739997,0.123763,0.052915,0.025768,0.057558
35,1020.0,W,N3,0.76774,0.128318,0.048235,0.017576,0.038131
