"epoch","stage","start_sample","end_sample","delta_power","theta_power","alpha_power","sigma_power","beta_power"
1,"N3",1,3000,482936.86718394,79570.9082398844,9672.5325467442,3588.4224424051,7643.8383855584
2,"N3",3001,6000,279084.045488919,35864.1812483533,15072.9183012829,9774.5283508598,26565.488145312
3,"N3",6001,9000,393678.862231013,21979.4903063337,33456.2470399867,5059.8446015763,12004.4780691538
4,"N3",9001,12000,150975.403516156,23069.7961008015,44380.8751786519,2739.2272856788,6678.1436017259
5,"N3",12001,15000,160453.704825082,51216.9095792214,38121.1158331428,3135.8431137698,5798.8021949493
6,"N3",15001,18000,331319.229317673,94894.6939759098,11145.399431396,3637.7169080987,8150.5852093663
7,"N3",18001,21000,538553.487947598,52184.7204775006,18468.633514754,8585.3175924532,27902.0261419509
8,"N3",21001,24000,486441.523233984,43253.7258258654,7291.2888290523,3279.3628046947,7295.0407683444
9,"N3",24001,27000,223175.796328008,47419.0359704605,9153.8489430073,3145.4872433945,7753.7126836101
10,"N3",27001,30000,372978.663952571,33750.9456622187,10044.4599729546,5340.4414968226,15499.2037638375
11,"N3",30001,33000,451011.113343061,30375.8271769136,11851.6850803109,5128.0625207496,11911.8010269606
12,"N3",33001,36000,487728.395299908,40579.1363340794,10175.9977840405,5417.6272011081,13719.1152162129
13,"N3",36001,39000,452485.402296683,52080.6867897133,10647.6732017052,4544.5356758638,10842.1943202975
14,"N3",39001,42000,304720.699190153,37160.1758231244,8371.1873114475,4855.0173981084,9925.8187780074
15,"N3",42001,45000,145252.647679635,16350.1352819686,4721.8158490951,2769.6178528836,6276.0370049239
16,"N3",45001,48000,289932.17435791,28795.9340359567,9566.4134405392,4211.5681952018,10035.7159834241
17,"N3",48001,51000,151426.198941551,24131.7487178314,8124.8899005504,3836.7296770135,7507.8525362838
18,"N3",51001,54000,297044.701389577,35306.5610182456,11171.6792302131,4879.1785322955,12608.0845608772
19,"N3",54001,57000,250214.462729057,32646.6920446246,9106.7781250618,3956.445099327,7371.6123492076
20,"N3",57001,60000,141440.960735582,21226.4718546267,7366.4396206108,3871.4537578173,12353.185330422
21,"N3",60001,63000,191091.669172229,16953.686045399,6881.9629899208,3062.0857225717,7213.8115862373
22,"N3",63001,66000,96939.0678182543,17307.6807409998,6470.6263276796,2965.9580829581,5252.9587484523
23,"N3",66001,69000,93881.6523673555,12944.0340199976,8127.0493020851,3748.6673652965,9291.8381843176
24,"N3",69001,72000,67376.8993024592,12962.4394409601,6703.1892642349,3548.5967510196,8276.746963644
25,"N3",72001,75000,153465.41898666,21145.6652642071,5792.5922388103,2916.2260548653,6176.7951387975
26,"N3",75001,78000,256491.150659251,19571.7010956162,7307.674136488,3228.050658336,7352.7936909232
27,"N1",78001,81000,185288.886061123,22051.2966689455,8351.2233342487,4292.3549150129,9212.298553636
28,"N3",81001,84000,92123.1190998879,16343.5168428582,7367.8360651686,3540.7239162863,8470.5574970525
29,"N3",84001,87000,176960.876988803,22000.4980786011,8073.5070668129,3549.3614192581,7740.3125334879
30,"N3",87001,90000,274534.967937338,27599.4910215777,8242.6305915469,4166.4651847283,7853.5076320873
31,"N3",90001,93000,196401.580891184,22455.1423285257,8152.0261010375,4316.0492579736,8488.7247420858
32,"N3",93001,96000,67742.7183038574,21047.9557838444,7599.7041397689,3552.8774635872,8492.0669974826
33,"N3",96001,99000,131028.223516817,16844.1869891717,7380.3321267838,3508.2970401708,7296.1931257929
34,"N1",99001,102000,101807.754935828,17027.1845203877,7279.9401753668,3545.0936902523,7918.7096832476
35,"N3",102001,105000,115403.134575283,19288.1273946702,7250.4138958457,2641.9205883434,5731.739493893
36,"N3",105001,108000,280843.373356396,27154.2527112928,8332.0370632506,3343.3313395273,7493.0857569895
37,"N3",108001,111000,202532.13791538,18525.0989100223,8422.2106944194,4155.8704269386,11236.4438291753
38,"N3",111001,114000,180133.904158126,22398.1459145583,8735.8338951723,3443.882511273,6445.0426000954
39,"N3",114001,117000,71793.014456714,18332.2064914977,7135.0658384956,3603.8322272066,9802.3690128675
40,"N3",117001,120000,156723.391420362,20709.8779744736,7543.7383156585,3316.4754964614,9084.4783735894
41,"N3",120001,123000,264706.070150032,26022.6755147431,9528.4923657592,3820.9173362473,8348.1313062517
42,"N3",123001,126000,214930.716848628,18907.5698635729,7166.0647966508,2817.8486477966,7136.1412865937
43,"N3",126001,129000,326454.126888875,24668.2865709088,7088.1376889312,3590.3150998697,8301.3027948051
44,"N3",129001,132000,200255.476961683,23095.2230436545,7685.6992611598,3914.7311476887,10271.143094826
45,"N3",132001,135000,106366.51930582,11340.919006099,6198.0825711363,2376.9123239894,5223.9498039008
46,"N3",135001,138000,145329.126403351,25980.087407408,8541.5148569062,4079.2758795029,11133.7800295131
47,"N3",138001,141000,99691.2183011521,17292.2198298867,8879.3580856353,3839.2839743106,9225.5597355737
48,"N3",141001,144000,123411.107787188,18521.8718289212,7468.8995635087,3478.8627412635,10756.3528471704
49,"N3",144001,147000,266396.432329727,22771.4465516128,9637.2496101513,4198.3821798285,9356.5971831469
50,"N3",147001,150000,215700.574104298,19755.3563847852,7168.4816379093,3114.0527918715,6160.541180685
51,"N3",150001,153000,112182.19830257,21887.5094743012,6749.1593736048,2802.9411810379,6388.0249108567
52,"N3",153001,156000,194260.541301954,16813.8356156772,7891.2201853918,3293.5834205613,7528.1836023511
53,"N1",156001,159000,125040.182498982,21314.5219575737,8468.0950339416,3442.5709348781,9055.9079196692
54,"N3",159001,162000,182088.171728266,19629.0733063578,8596.0441404093,4633.4146682668,10865.4064195063
55,"N3",162001,165000,128322.557531905,25024.0928192789,8666.1870881273,4866.2877967786,11110.9177824803
56,"N3",165001,168000,223598.042343242,23031.8637768894,8416.7875385425,4035.6734071695,10090.0427956412
57,"N3",168001,171000,121124.278573285,20108.6465529554,9742.343016019,4386.8181206931,12796.2762698144
58,"N1",171001,174000,51130.5359213727,38674.4932440056,8700.3252516807,3794.128145979,9593.0153157029
59,"N1",174001,177000,36421.0820268884,20049.4589237665,8305.400012119,2753.6204655188,6826.5997328831
60,"N3",177001,180000,173440.065273557,18132.8930511925,7357.4034485357,2927.233954087,7537.4639356618
61,"N3",180001,183000,138736.436225554,20092.5705552563,7915.72159497,3280.4495339074,7266.6157178489
62,"N3",183001,186000,146632.029912002,22466.3189783929,7210.6342153412,3082.1424447624,6389.4793374668
63,"N1",186001,189000,64104.5207942759,15057.8359948366,5916.622717524,2752.7932424691,7006.5583288772
64,"N3",189001,192000,158190.877171455,19565.739890062,7646.9992895182,3118.7797032046,7434.4950741386
65,"N3",192001,195000,159002.966269973,16773.3349998924,6054.3096434549,2951.0620689969,7311.2242899203
66,"N3",195001,198000,226312.980893123,26253.6683509834,9345.5202177171,4760.1403534579,12340.2734732049
67,"N3",198001,201000,389780.947232295,32617.1012244189,10871.8464764172,5300.2566358409,15059.973470637
68,"N3",201001,204000,224633.627975118,25042.820219531,16819.3563202127,4632.7255611018,9913.7781202085
69,"N3",204001,207000,561188.348709896,51517.203610352,15374.5704650559,5899.219755635,15409.6600751053
70,"N3",207001,210000,265633.602068659,26170.8624610519,9100.280025341,4550.7689144763,13674.7455916027
71,"N3",210001,213000,611606.819704489,44017.948512841,15139.8777067882,7136.5166017683,19618.7047406421
72,"N1",213001,216000,169274.9479045,14862.6971085184,7709.9139961047,3681.4905650494,8052.9717289122
