"metric","value"
"p_firm_vision",0.0442669796
"p_foam_vision",3.14782977461903e-08
"stat_extreme",17.9962548847
"max_diff_pmcmr",0
"max_diff_scipy",5.01841623812282e-13
"foam_vision_stronger",1
"n_sig",6
"n_pairs",6
"n_subjects",158
"stat_Closed-Firm~Open-Firm",2.614468
"stat_Open-Foam~Open-Firm",12.157276
"stat_Open-Foam~Closed-Firm",9.542808
"stat_Closed-Foam~Open-Firm",17.996255
"stat_Closed-Foam~Closed-Firm",15.381787
"stat_Closed-Foam~Open-Foam",5.838979
"p_Closed-Firm~Open-Firm",0.04426698
"p_Open-Foam~Open-Firm",0
"p_Open-Foam~Closed-Firm",0
"p_Closed-Foam~Open-Firm",0
"p_Closed-Foam~Closed-Firm",0
"p_Closed-Foam~Open-Foam",3e-08
