"component","polarity","window_start_ms","window_end_ms","channel","channel_label","amplitude","latency_ms","peak_sample","boundary_peak"
"N15","negative",10,20,1,"FP1",-2.64556571679129,18,269,FALSE
"N15","negative",10,20,2,"FP2",-1.8747216727366,10,261,TRUE
"N15","negative",10,20,3,"F3",-2.92779956300543,20,271,TRUE
"N15","negative",10,20,4,"F4",-0.787201431552806,16,267,FALSE
"N15","negative",10,20,5,"C4",-3.01931619096016,11,262,FALSE
"N15","negative",10,20,6,"P3",-1.25719742022185,17,268,FALSE
"N15","negative",10,20,7,"P4",-3.08669722226057,16,267,FALSE
"N15","negative",10,20,8,"O1",-0.0849532997994189,15,266,FALSE
"N15","negative",10,20,9,"O2",-3.1498119597344,15,266,FALSE
"N15","negative",10,20,10,"F7",-1.2488261953189,11,262,FALSE
"N15","negative",10,20,11,"F8",-3.40245056909415,17,268,FALSE
"N15","negative",10,20,12,"T7",-2.88596673727884,13,264,FALSE
"N15","negative",10,20,13,"T8",-1.09965243435532,14,265,FALSE
"N15","negative",10,20,14,"P7",-1.55248640175547,14,265,FALSE
"N15","negative",10,20,15,"P8",0.58303285801672,16,267,FALSE
"N15","negative",10,20,16,"Fz",-1.62773072530734,18,269,FALSE
"N15","negative",10,20,17,"Cz",-1.90595504158308,12,263,FALSE
"N15","negative",10,20,18,"Pz",-1.36010032670383,20,271,TRUE
"N15","negative",10,20,19,"Iz",-0.519920422494761,16,267,FALSE
"N15","negative",10,20,20,"FC1",-0.937280167178424,18,269,FALSE
"N15","negative",10,20,21,"FC2",-0.359947427900924,20,271,TRUE
"N15","negative",10,20,22,"CP2",-0.0974062106526492,12,263,FALSE
"N15","negative",10,20,23,"FC5",-1.72110661684146,16,267,FALSE
"N15","negative",10,20,24,"FC6",-2.27210445912314,12,263,FALSE
"N15","negative",10,20,25,"CP5",-1.11224212047373,19,270,FALSE
"N15","negative",10,20,26,"CP6",-1.6390764310094,10,261,TRUE
"N15","negative",10,20,27,"TP9",-0.794669263144067,10,261,TRUE
"N15","negative",10,20,28,"TP10",-0.198144424962208,20,271,TRUE
"N15","negative",10,20,29,"F1",-1.9907724049186,12,263,FALSE
"N15","negative",10,20,30,"F2",-1.60662257458112,19,270,FALSE
"N15","negative",10,20,31,"C2",-0.669210515074598,10,261,TRUE
"N15","negative",10,20,32,"P1",0.481752903187704,19,270,FALSE
"N15","negative",10,20,33,"P2",-2.48373216982759,15,266,FALSE
"N15","negative",10,20,34,"AF3",-0.376680879996274,13,264,FALSE
"N15","negative",10,20,35,"AF4",1.55969740415806,17,268,FALSE
"N15","negative",10,20,36,"FC3",1.64730786720263,16,267,FALSE
"N15","negative",10,20,37,"FC4",-0.948661593074786,16,267,FALSE
"N15","negative",10,20,38,"CP3",-0.562628443704699,15,266,FALSE
"N15","negative",10,20,39,"CP4",0.620437510529284,13,264,FALSE
"N15","negative",10,20,40,"PO3",-0.964128599982381,17,268,FALSE
"N15","negative",10,20,41,"PO4",-1.68822813598437,13,264,FALSE
"N15","negative",10,20,42,"F5",-1.68605696816432,10,261,TRUE
"N15","negative",10,20,43,"F6",-1.74991606161567,12,263,FALSE
"N15","negative",10,20,44,"C5",-1.00063205521325,12,263,FALSE
"N15","negative",10,20,45,"C6",-1.22175775878286,19,270,FALSE
"N15","negative",10,20,46,"P5",-1.47621248244818,15,266,FALSE
"N15","negative",10,20,47,"P6",-3.16775329936741,20,271,TRUE
"N15","negative",10,20,48,"AF7",-1.37869792910752,20,271,TRUE
"N15","negative",10,20,49,"AF8",-2.19786548754061,16,267,FALSE
"N15","negative",10,20,50,"FT7",-1.40327041591523,20,271,TRUE
"N15","negative",10,20,51,"FT8",-0.991994378061147,14,265,FALSE
"N15","negative",10,20,52,"TP7",0.448020764426109,12,263,FALSE
"N15","negative",10,20,53,"TP8",-3.69722308749819,18,269,FALSE
"N15","negative",10,20,54,"PO7",-2.50822743718292,17,268,FALSE
"N15","negative",10,20,55,"PO8",-1.33025215669597,14,265,FALSE
"N15","negative",10,20,56,"Fpz",-0.629320239746488,20,271,TRUE
"N15","negative",10,20,57,"CPz",0.279662437265267,18,269,FALSE
"N15","negative",10,20,58,"POz",-1.1546951464484,12,263,FALSE
"N15","negative",10,20,59,"Oz",-0.901421223697465,11,262,FALSE
"P30","positive",20,40,1,"FP1",0.956558932904757,20,271,TRUE
"P30","positive",20,40,2,"FP2",2.87191282137931,30,281,FALSE
"P30","positive",20,40,3,"F3",1.13596535935887,37,288,FALSE
"P30","positive",20,40,4,"F4",1.8475067003218,28,279,FALSE
"P30","positive",20,40,5,"C4",0.794180165795336,30,281,FALSE
"P30","positive",20,40,6,"P3",1.31531234886767,37,288,FALSE
"P30","positive",20,40,7,"P4",0.803256067119107,32,283,FALSE
"P30","positive",20,40,8,"O1",3.10383589262629,25,276,FALSE
"P30","positive",20,40,9,"O2",0.648771383263577,32,283,FALSE
"P30","positive",20,40,10,"F7",2.58682331633534,26,277,FALSE
"P30","positive",20,40,11,"F8",-0.680557330519886,34,285,FALSE
"P30","positive",20,40,12,"T7",2.00762975180022,37,288,FALSE
"P30","positive",20,40,13,"T8",0.783961050581139,27,278,FALSE
"P30","positive",20,40,14,"P7",1.24354745692936,36,287,FALSE
"P30","positive",20,40,15,"P8",3.74052409499152,29,280,FALSE
"P30","positive",20,40,16,"Fz",1.11647360057972,22,273,FALSE
"P30","positive",20,40,17,"Cz",1.38493723826041,34,285,FALSE
"P30","positive",20,40,18,"Pz",2.12587577447795,21,272,FALSE
"P30","positive",20,40,19,"Iz",4.00183464699949,28,279,FALSE
"P30","positive",20,40,20,"FC1",1.3585757300644,39,290,FALSE
"P30","positive",20,40,21,"FC2",1.8782158553056,21,272,FALSE
"P30","positive",20,40,22,"CP2",4.28112419452353,31,282,FALSE
"P30","positive",20,40,23,"FC5",1.67305236534605,38,289,FALSE
"P30","positive",20,40,24,"FC6",0.765190363106558,33,284,FALSE
"P30","positive",20,40,25,"CP5",2.02325991285925,26,277,FALSE
"P30","positive",20,40,26,"CP6",2.42304985159315,38,289,FALSE
"P30","positive",20,40,27,"TP9",1.81416627828804,27,278,FALSE
"P30","positive",20,40,28,"TP10",1.81961170369664,24,275,FALSE
"P30","positive",20,40,29,"F1",1.2455085054293,39,290,FALSE
"P30","positive",20,40,30,"F2",1.40482799087623,28,279,FALSE
"P30","positive",20,40,31,"C2",3.80369419505555,37,288,FALSE
"P30","positive",20,40,32,"P1",3.76318449579123,30,281,FALSE
"P30","positive",20,40,33,"P2",0.595176629532917,33,284,FALSE
"P30","positive",20,40,34,"AF3",2.01121265162423,30,281,FALSE
"P30","positive",20,40,35,"AF4",4.82820777764116,27,278,FALSE
"P30","positive",20,40,36,"FC3",4.75865234356966,32,283,FALSE
"P30","positive",20,40,37,"FC4",1.82080010560633,38,289,FALSE
"P30","positive",20,40,38,"CP3",2.28348497185443,22,273,FALSE
"P30","positive",20,40,39,"CP4",3.8537522265505,32,283,FALSE
"P30","positive",20,40,40,"PO3",1.92757720773203,34,285,FALSE
"P30","positive",20,40,41,"PO4",1.45470182757205,20,271,TRUE
"P30","positive",20,40,42,"F5",3.06812247947045,27,278,FALSE
"P30","positive",20,40,43,"F6",3.41790225629436,24,275,FALSE
"P30","positive",20,40,44,"C5",1.99254450081766,29,280,FALSE
"P30","positive",20,40,45,"C6",1.57340135651176,33,284,FALSE
"P30","positive",20,40,46,"P5",1.55277456517442,39,290,FALSE
"P30","positive",20,40,47,"P6",-0.625419734435261,39,290,FALSE
"P30","positive",20,40,48,"AF7",2.92595679464601,38,289,FALSE
"P30","positive",20,40,49,"AF8",1.38497485589996,31,282,FALSE
"P30","positive",20,40,50,"FT7",2.14337455634954,29,280,FALSE
"P30","positive",20,40,51,"FT8",1.10002337789431,28,279,FALSE
"P30","positive",20,40,52,"TP7",3.9933385235426,25,276,FALSE
"P30","positive",20,40,53,"TP8",0.208869293780486,32,283,FALSE
"P30","positive",20,40,54,"PO7",1.33804717485392,40,291,TRUE
"P30","positive",20,40,55,"PO8",2.25235474342729,26,277,FALSE
"P30","positive",20,40,56,"Fpz",1.72909356179755,33,284,FALSE
"P30","positive",20,40,57,"CPz",2.37468514000391,28,279,FALSE
"P30","positive",20,40,58,"POz",0.811668194466625,35,286,FALSE
"P30","positive",20,40,59,"Oz",2.37388024109239,40,291,TRUE
"N45","negative",35,55,1,"FP1",-2.34034598547284,54,305,FALSE
"N45","negative",35,55,2,"FP2",-0.258551671632128,38,289,FALSE
"N45","negative",35,55,3,"F3",-3.11746932812146,52,303,FALSE
"N45","negative",35,55,4,"F4",-0.537412759516625,35,286,TRUE
"N45","negative",35,55,5,"C4",-4.06673123486119,41,292,FALSE
"N45","negative",35,55,6,"P3",-2.97355699121993,43,294,FALSE
"N45","negative",35,55,7,"P4",-3.61932114642653,45,296,FALSE
"N45","negative",35,55,8,"O1",-0.700437703717606,38,289,FALSE
"N45","negative",35,55,9,"O2",-5.51710559310599,50,301,FALSE
"N45","negative",35,55,10,"F7",-0.222940610573345,54,305,FALSE
"N45","negative",35,55,11,"F8",-4.13797028255555,40,291,FALSE
"N45","negative",35,55,12,"T7",-1.59613443423911,52,303,FALSE
"N45","negative",35,55,13,"T8",-1.42071927072237,38,289,FALSE
"N45","negative",35,55,14,"P7",-1.48521692004624,50,301,FALSE
"N45","negative",35,55,15,"P8",-3.32341704601533,42,293,FALSE
"N45","negative",35,55,16,"Fz",-2.08571045303005,43,294,FALSE
"N45","negative",35,55,17,"Cz",-2.615816469162,48,299,FALSE
"N45","negative",35,55,18,"Pz",-1.36136910472808,39,290,FALSE
"N45","negative",35,55,19,"Iz",0.858356334246345,35,286,TRUE
"N45","negative",35,55,20,"FC1",-1.46322892599912,48,299,FALSE
"N45","negative",35,55,21,"FC2",-1.20067530245065,49,300,FALSE
"N45","negative",35,55,22,"CP2",-1.18837460378971,42,293,FALSE
"N45","negative",35,55,23,"FC5",-1.90581755882671,51,302,FALSE
"N45","negative",35,55,24,"FC6",-3.28002052992341,38,289,FALSE
"N45","negative",35,55,25,"CP5",-1.80254991082514,44,295,FALSE
"N45","negative",35,55,26,"CP6",-2.54863123306456,51,302,FALSE
"N45","negative",35,55,27,"TP9",-0.841921158984036,51,302,FALSE
"N45","negative",35,55,28,"TP10",-1.99214598939228,45,296,FALSE
"N45","negative",35,55,29,"F1",-1.20892569772852,50,301,FALSE
"N45","negative",35,55,30,"F2",-2.51861458680621,35,286,TRUE
"N45","negative",35,55,31,"C2",-1.18280277133874,48,299,FALSE
"N45","negative",35,55,32,"P1",-2.58927575148698,38,289,FALSE
"N45","negative",35,55,33,"P2",-4.28764075553494,53,304,FALSE
"N45","negative",35,55,34,"AF3",-1.18947786828484,48,299,FALSE
"N45","negative",35,55,35,"AF4",0.733815935752732,48,299,FALSE
"N45","negative",35,55,36,"FC3",1.63334931777762,47,298,FALSE
"N45","negative",35,55,37,"FC4",-0.315104176874149,42,293,FALSE
"N45","negative",35,55,38,"CP3",-1.92328945404952,52,303,FALSE
"N45","negative",35,55,39,"CP4",-0.317889837752657,45,296,FALSE
"N45","negative",35,55,40,"PO3",-2.00103257234734,45,296,FALSE
"N45","negative",35,55,41,"PO4",-2.28248397647712,55,306,TRUE
"N45","negative",35,55,42,"F5",-1.59164905631728,45,296,FALSE
"N45","negative",35,55,43,"F6",0.00564396693733575,53,304,FALSE
"N45","negative",35,55,44,"C5",-0.690229838301934,44,295,FALSE
"N45","negative",35,55,45,"C6",-1.64529549727992,51,302,FALSE
"N45","negative",35,55,46,"P5",-1.60340565924538,38,289,FALSE
